Property,Value
Name,"Adhesive Residue / Tape Marks"
Category,"organic-residue"
Subcategory,"adhesive"
Description,"Adhesive-residue contamination forms during shipping or labeling processes, and clings tenaciously to metals and plastics. Unlike dust that brushes away easily or oils that evaporate quickly, layer hardens over time so tackiness persists after exposure. During cleaning, bonds resist solvents, so gentle methods apply to prevent surface damage. Buildup is observed as sticky films, distinct because it demands careful removal without scratching."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"full_face"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Aluminum","Compatible"
"Steel","Compatible"
"Stainless Steel","Compatible"
"Cast Iron","Compatible"
"Copper","Compatible"
"Bronze","Compatible"
"Brass","Compatible"
"Titanium","Compatible"
"Zinc","Compatible"
"Nickel","Compatible"
"Lead","Compatible"
"Tin","Compatible"
"Cobalt","Compatible"
"Chromium","Compatible"
"ABS","Compatible"
"Acrylic (PMMA)","Compatible"
"Polycarbonate","Compatible"
"PET","Compatible"
"Polypropylene","Compatible"
"PVC","Compatible"
"Nylon","Compatible"
"PTFE","Compatible"
"Crown Glass","Compatible"
"Float Glass","Compatible"
"Borosilicate Glass","Compatible"
"Aluminosilicate Glass","Compatible"
"Fused Silica","Compatible"
"Gorilla Glass","Compatible"
"Tempered Glass","Compatible"
"Oak","Compatible"
"Maple","Compatible"
"Cherry","Compatible"
"Walnut","Compatible"
"Pine","Compatible"
"Cedar","Compatible"
"Ash","Compatible"
"Birch","Compatible"
"Mahogany","Compatible"
"Teak","Compatible"
"Bamboo","Compatible"
"Fir","Compatible"
"Alumina","Compatible"
"Silicon Carbide","Compatible"
"Zirconia","Compatible"
"Aluminum Nitride","Compatible"
"Boron Carbide","Compatible"
"Boron Nitride","Compatible"
"Silicon Nitride","Compatible"
"Redwood","Compatible"
LEGAL NOTICE,
DISCLAIMER,"Provided for informational purposes only, without warranties. Use at your own risk. Z-Beam assumes no liability for damages arising from its application."
NO WARRANTY,"This data is provided AS IS without warranty of any kind"
NO LIABILITY,"Z-Beam assumes no liability for damages arising from use of this data"
PROFESSIONAL CONSULTATION,"Always consult qualified professionals and follow safety regulations"
