# Contaminant Removal Dataset (CSV Format)
# Contaminant: Asbestos-Containing Material
# Category: inorganic-coating
# Generated: 2025-12-21
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# URL: https://www.z-beam.com/contaminants/inorganic-coating/hazardous/asbestos-coating-contamination

## CHEMICAL COMPOSITION
Index,Compound
1,"Mg₃Si₂O₅(OH)₄"
2,"Fibers"

## SAFETY DATA
Assessment,Risk Level
Fire/Explosion Risk,"[object Object]"
Toxic Gas Risk,"[object Object]"
Visibility Hazard,"[object Object]"

## PPE REQUIREMENTS
Protection Type,Requirement
Respiratory,"PAPR"
Eye Protection,"goggles"
Protective Clothing,"Not specified"
Gloves,"Not specified"

## VENTILATION REQUIREMENTS
Parameter,Value
Minimum ACH,12

## LASER REMOVAL PROPERTIES
Property,Value
N/A,No laser property data available

## DATA AVAILABILITY
Data Type,Availability
Material-Specific Removal,"1 materials"
Visual Characteristics,"Not available"
