Property,Value
Name,"Bronze Patina and Corrosion"
Category,"oxidation"
Subcategory,"non-ferrous"
Description,"Bronze-patina contamination, it arises from oxidation of copper-tin alloys in bronze when exposed to moist air and pollutants, thus forming adherent green-brown layers that alter surface appearance. This patina shows earthy color and porous texture, it distinguishes from similar contaminants by adhering tightly on bronze while spreading unevenly on brass surfaces and thinly on copper, so chemical bonding resists mechanical scraping and poses key removal challenges. Laser cleaning applies precise energy pulses to ablate the layer selectively, thus restoring underlying metal without heat damage, and surface already exhibits integrity after treatment."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Bronze","Compatible"
"Brass","Compatible"
"Copper","Compatible"
