Property,Value
Name,"Engine Coolant Scale"
Category,"thermal-damage"
Subcategory,"scale"
Description,"Coolant-scale contamination arises from silicate and phosphate deposits in engine cooling systems, where coolants degrade during operation and so minerals precipitate onto surfaces. This scale exhibits layered hardness and poor adhesion compared to rust or oil residues, because it forms crystalline structures that bond tightly yet crack unevenly under stress. On aluminum and cast iron, scale clings stubbornly and so resists scraping without surface damage, while on brass it flakes more readily but leaves residues; removal challenges include avoiding substrate erosion during mechanical methods, yet laser cleaning succeeds by vaporizing layers precisely through thermal expansion, so surfaces restore uniformity without harm."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"half_mask"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Aluminum","Compatible"
"Cast Iron","Compatible"
"Brass","Compatible"
