Property,Value
Name,"Concrete Efflorescence"
Category,"inorganic-coating"
Subcategory,"mineral"
Description,"Efflorescence appears as white, crystalline salt deposits that form when moisture draws soluble salts through porous materials like concrete or brick, crystallizing on the surface as water evaporates. This contamination sets it apart from dirt or algae by its powdery, water-soluble nature that flakes easily yet recurs without addressing underlying moisture issues, behaving more aggressively on absorbent stones such as limestone or sandstone where it embeds deeply. Removal poses a solid challenge due to the risk of substrate damage from abrasive methods, but laser cleaning addresses this effectively by vaporizing the salts layer by layer while preserving the material's integrity."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"low"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"full_suit"

COMPATIBLE MATERIALS,
"Concrete","Compatible"
"Brick","Compatible"
"Granite","Compatible"
"Marble","Compatible"
"Limestone","Compatible"
"Sandstone","Compatible"
"Basalt","Compatible"
"Slate","Compatible"
"Quartzite","Compatible"
"Travertine","Compatible"
"Bluestone","Compatible"
"Soapstone","Compatible"
