Property,Value
Name,"Hydraulic Fluid Contamination"
Category,"organic-residue"
Subcategory,"petroleum"
Description,"Hydraulic-fluid contamination, it arises from leaks in heavy machinery, where petroleum-based oils seep gradually under vibration and pressure, forming sticky deposits that harden into tenacious oily films. These contaminants, they distinguish themselves by persistent adhesion that penetrates surfaces, unlike dry dust or watery residues; on steel, layers build slowly and tenaciously, aluminum shows quicker pore-deep spread, while concrete absorbs profoundly, yielding darkened stains. Removal proves challenging, as solvents fail against embedded oils and scraping risks damage, yet laser cleaning excels, its pulses vaporizing films effectively without harming substrates."

SAFETY INFORMATION,
Fire/Explosion Risk,"moderate"
Toxic Gas Risk,"high"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Steel","Compatible"
"Aluminum","Compatible"
"Concrete","Compatible"
