# Contaminant Removal Dataset (CSV Format)
# Contaminant: Industrial Oil / Grease Buildup
# Category: organic-residue
# Generated: 2025-12-21
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# URL: https://www.z-beam.com/contaminants/organic-residue/petroleum/industrial-oil-contamination

## CHEMICAL COMPOSITION
Index,Compound
N/A,No composition data available

## SAFETY DATA
Assessment,Risk Level
Fire/Explosion Risk,"[object Object]"
Toxic Gas Risk,"[object Object]"
Visibility Hazard,"[object Object]"

## PPE REQUIREMENTS
Protection Type,Requirement
Respiratory,"PAPR"
Eye Protection,"goggles"
Protective Clothing,"Not specified"
Gloves,"Not specified"

## VENTILATION REQUIREMENTS
Parameter,Value
Minimum ACH,12

## LASER REMOVAL PROPERTIES
Property,Value
N/A,No laser property data available

## DATA AVAILABILITY
Data Type,Availability
Material-Specific Removal,"Not available"
Visual Characteristics,"Not available"
