Property,Value
Name,"Lead-Based Paint Removal"
Category,"inorganic-coating"
Subcategory,"paint"
Description,"Lead paint contamination consists of hazardous layers from old coatings in historic structures, and it forms through repeated exposure to environmental elements that bind toxic lead particles to surfaces. This differs from other paints because lead creates dense, adherent films that resist flaking and release harmful dust during disturbance, so removal challenges include avoiding inhalation risks and substrate damage on materials like steel or oak. Laser cleaning proves effective since precise pulses ablate the paint selectively, so it preserves underlying concrete or wood without chemical residues."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"full_suit"

COMPATIBLE MATERIALS,
"Steel","Compatible"
"Concrete","Compatible"
"Oak","Compatible"
"Maple","Compatible"
"Cherry","Compatible"
"Walnut","Compatible"
"Pine","Compatible"
"Cedar","Compatible"
"Ash","Compatible"
"Birch","Compatible"
"Mahogany","Compatible"
"Teak","Compatible"
"Bamboo","Compatible"
"Fir","Compatible"
LEGAL NOTICE,
DISCLAIMER,"Provided for informational purposes only, without warranties. Use at your own risk. Z-Beam assumes no liability for damages arising from its application."
NO WARRANTY,"This data is provided AS IS without warranty of any kind"
NO LIABILITY,"Z-Beam assumes no liability for damages arising from use of this data"
PROFESSIONAL CONSULTATION,"Always consult qualified professionals and follow safety regulations"
