Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Paint Residue / Coating Failure,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: paint residue / coating failure, laser cleaning, contamination, inorganic-coating, contaminant removal",,,,,
# Last Modified: 2025-12-29,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Optical Properties,Wavelength 1064Nm,800,cm⁻¹,None,None
Optical Properties,Wavelength 355Nm,12000,cm⁻¹,None,None
Optical Properties,Wavelength 532Nm,3500,cm⁻¹,None,None
Optical Properties,Wavelength 1064Nm,0.15,ratio,None,None
Optical Properties,Wavelength 355Nm,0.04,ratio,None,None
Optical Properties,Wavelength 532Nm,0.08,ratio,None,None
Optical Properties,Imaginary Part,0.025,dimensionless,None,None
Optical Properties,Real Part,1.55,dimensionless,None,None
Optical Properties,Transmission Depth,12.5,μm,None,None
Thermal Properties,Pulse Duration 100Ns,0.9,J/cm²,None,None
Thermal Properties,Pulse Duration 10Ns,1.2,J/cm²,None,None
Thermal Properties,Wavelength 1064Nm,1.8,J/cm²,None,None
Thermal Properties,Decomposition Temperature,400,°C,None,None
Thermal Properties,Heat Affected Zone Depth,15,μm,None,None
Thermal Properties,Melting Point,N/A,°C,None,None
Thermal Properties,Specific Heat,1500,J/(kg·K),None,None
Thermal Properties,Thermal Conductivity,0.2,W/(m·K),None,None
Thermal Properties,Thermal Diffusivity,0.08,mm²/s,None,None
Thermal Properties,Vaporization Temperature,250,°C,None,None
Laser Parameters,Beam Profile,flat_top,,None,None
Laser Parameters,Fluence Range,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}",J/cm²,None,None
Laser Parameters,Overlap Percentage,50,%,None,None
Laser Parameters,Polarization,circular,,None,None
Laser Parameters,Pulse Duration Range,"{'max_ns': 200, 'min_ns': 10, 'recommended_ns': 50}",ns,None,None
Laser Parameters,Repetition Rate Khz,50,kHz,20,200
Laser Parameters,Safety Margin Factor,0.7,,None,None
Laser Parameters,Scan Speed Mm S,1000,mm/s,500,2000
Laser Parameters,Spot Size Mm,0.1,mm,0.05,0.2
Laser Parameters,Wavelength Preference,"1064, 532",nm,None,None
Removal Characteristics,Damage Risk To Substrate,low,,None,None
Removal Characteristics,Primary Mechanism,thermal_ablation,,None,None
Removal Characteristics,Area Coverage Rate Cm2 Min,480,cm²/min,None,None
Removal Characteristics,Typical Scan Speed Mm S,800,mm/s,None,None
Removal Characteristics,Diminishing Returns After,3,,None,None
Removal Characteristics,Optimal Passes,2,passes,None,None
Removal Characteristics,Single Pass,0.85,ratio,None,None
Removal Characteristics,Color Change,no,,None,None
Removal Characteristics,Residual Stress,compressive,,None,None
Removal Characteristics,Roughness Increase,minimal,,None,None
Compound,Name,Carbon Monoxide,,,
Compound,Formula,CO,,,
Compound,Name,Formaldehyde,,,
Compound,Formula,CH₂O,,,
Compound,Name,Benzene,,,
Compound,Formula,C₆H₆,,,
Compound,Name,Polycyclic Aromatic Hydrocarbons,,,
Compound,Formula,Various,,,
Compound,Name,Acetaldehyde,,,
Compound,Formula,C₂H₄O,,,
Compound,Name,Toluene,,,
Compound,Formula,C₇H₈,,,
Compound,Name,Zinc Oxide,,,
Compound,Formula,ZnO,,,
Compound,Name,Hexavalent Chromium,,,
Compound,Formula,Cr(VI),,,
Compound,Name,Carbon Dioxide,,,
Compound,Formula,CO₂,,,
Compound,Name,Volatile Organic Compounds,,,
Compound,Formula,Various,,,
Compound,Name,Water Vapor,,,
Compound,Formula,H₂O,,,
Compound,Name,Carbon Ash,,,
Compound,Formula,C,,,
