Property,Value
Name,"Thermal Spray Coating"
Category,"thermal-damage"
Subcategory,"coating"
Description,"Plasma-spray contamination, it arises from the deposition of molten ceramic or metallic particles onto surfaces during thermal spraying processes, which are employed for repairing components such as turbine blades. This contamination manifests as a tenacious, porous layer that distinguishes itself from oxide scales or dust residues through its uneven thickness and strong metallurgical bonding, influenced from the high-velocity impact of particles. On steel and titanium substrates, it adheres more persistently than on softer alloys, posing challenges like incomplete removal without substrate damage, yet laser cleaning proves effective, as the process selectively ablates the layer through precise thermal vaporization, that demonstrates superior control over mechanical methods."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"full_suit"

COMPATIBLE MATERIALS,
"Steel","Compatible"
"Titanium","Compatible"
"Turbine Blades","Compatible"
