# Contaminant Removal Dataset (CSV Format)
# Contaminant: Salt and Chloride Deposits
# Category: inorganic-coating
# Generated: 2025-12-21
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# URL: https://www.z-beam.com/contaminants/inorganic-coating/mineral/salt-residue-contamination

## CHEMICAL COMPOSITION
Index,Compound
1,"NaCl"
2,"MgCl₂"
3,"CaCl₂"

## SAFETY DATA
Assessment,Risk Level
Fire/Explosion Risk,"[object Object]"
Toxic Gas Risk,"[object Object]"
Visibility Hazard,"[object Object]"

## PPE REQUIREMENTS
Protection Type,Requirement
Respiratory,"PAPR"
Eye Protection,"goggles"
Protective Clothing,"Not specified"
Gloves,"Not specified"

## VENTILATION REQUIREMENTS
Parameter,Value
Minimum ACH,10

## LASER REMOVAL PROPERTIES
Property,Value
N/A,No laser property data available

## DATA AVAILABILITY
Data Type,Availability
Material-Specific Removal,"25 materials"
Visual Characteristics,"Not available"
