Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,0.22,MPa√m,,
Material Characteristics,density,2.32,g/cm³,,
Material Characteristics,oxidationResistance,0.98,dimensionless (normalized scale 0-1),,
Material Characteristics,youngsModulus,12.5,GPa,,
Material Characteristics,hardness,2.0,Mohs,,
Material Characteristics,compressiveStrength,15.0,MPa,,
Material Characteristics,tensileStrength,1.5,MPa,,
Material Characteristics,flexuralStrength,3.45,MPa,,
Material Characteristics,corrosionResistance,0.4,dimensionless,,
Material Characteristics,porosity,2.1,%,,
Material Characteristics,laserDamageThreshold,0.85,J/cm²,,
Laser-Material Interaction,absorptivity,0.15,dimensionless,0.05,0.25
Laser-Material Interaction,absorptionCoefficient,50000,m⁻¹,10000,100000
Laser-Material Interaction,laserDamageThreshold,2.5,J/cm²,1.0,5.0
Laser-Material Interaction,thermalShockResistance,1.2,MW/m,0.8,1.8
Laser-Material Interaction,reflectivity,0.85,dimensionless,0.75,0.95
Laser-Material Interaction,thermalDestructionPoint,650,K,400,900
Laser-Material Interaction,vaporPressure,150,Pa,10,1000
Laser-Material Interaction,thermalDestruction,423.0,K,,
Laser-Material Interaction,laserReflectivity,0.42,,,
Laser-Material Interaction,thermalExpansion,1.4e-05,K^{-1},,
Laser-Material Interaction,thermalConductivity,0.86,W/(m·K),,
Laser-Material Interaction,specificHeat,1090.0,J/kg·K,,
Laser-Material Interaction,laserAbsorption,2500.0,m^{-1},,
Laser-Material Interaction,thermalDiffusivity,1.82e-07,m²/s,,
Laser-Material Interaction,ablationThreshold,0.75,J/cm²,,
