Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Alumina,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: alumina, laser cleaning, ceramic, oxide, material properties",,,,,
# Last Modified: 2025-12-29,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,50,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Fluencethreshold,2.5,J/cm²,0.3,4.5
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Power,100,W,50,500
Machine Setting,Scan Speed,2000,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,30,kHz,1,200
Machine Setting,Energy Density,1.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,60,%,10,90
,Crystallinestructure,cubic,crystal system,None,None
Material Characteristics,Electricalresistivity,100000000000000.0,ohm-m,None,None
Material Characteristics,Fracturetoughness,4.0,MPa m^{1/2},None,None
Material Characteristics,Density,3.95,g/cm³,None,None
Material Characteristics,Oxidationresistance,1923.0,K,None,None
Material Characteristics,Youngsmodulus,393.0,GPa,None,None
Material Characteristics,Hardness,19.6,GPa,None,None
Material Characteristics,Compressivestrength,2500.0,MPa,None,None
Material Characteristics,Tensilestrength,275.0,MPa,None,None
Material Characteristics,Flexuralstrength,310.0,MPa,None,None
Material Characteristics,Corrosionresistance,0.96,dimensionless (normalized resistance index 0-1),None,None
Material Characteristics,Porosity,0.5,%,None,None
Material Characteristics,Laserdamagethreshold,14.2,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.07,dimensionless,0.01,0.15
Laser-Material Interaction,Absorptioncoefficient,50000,m⁻¹,10000,100000
Laser-Material Interaction,Laserdamagethreshold,12,J/cm²,5,20
Laser-Material Interaction,Thermalshockresistance,2,MW/m,1,3
Laser-Material Interaction,Reflectivity,0.07,dimensionless,0.05,0.1
Laser-Material Interaction,Thermaldestructionpoint,2300,K,2200,2400
Laser-Material Interaction,Vaporpressure,0.01,Pa,0.001,1
Laser-Material Interaction,Thermaldestruction,2345.0,K,None,None
Laser-Material Interaction,Laserreflectivity,0.075,dimensionless,None,None
Laser-Material Interaction,Thermalexpansion,8.1e-06,K^{-1},None,None
Laser-Material Interaction,Thermalconductivity,25.0,W/m·K,None,None
Laser-Material Interaction,Specificheat,880.0,J/(kg·K),None,None
Laser-Material Interaction,Laserabsorption,50.0,m^{-1},None,None
Laser-Material Interaction,Thermaldiffusivity,8.57e-06,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,2.1,J/cm²,None,None
,Metric,1064,nm,None,None
