Category,Property,Value,Unit,Min,Max
Material Characteristics,electricalResistivity,100000000000000.0,ohm-m,,
Material Characteristics,fractureToughness,4.0,MPa m^{1/2},,
Material Characteristics,density,3.95,g/cm³,,
Material Characteristics,oxidationResistance,1923.0,K,,
Material Characteristics,youngsModulus,393.0,GPa,,
Material Characteristics,hardness,19.6,GPa,,
Material Characteristics,compressiveStrength,2500.0,MPa,,
Material Characteristics,tensileStrength,275.0,MPa,,
Material Characteristics,flexuralStrength,310.0,MPa,,
Material Characteristics,corrosionResistance,0.96,dimensionless (normalized resistance index 0-1),,
Material Characteristics,porosity,0.5,%,,
Material Characteristics,laserDamageThreshold,14.2,J/cm²,,
Laser-Material Interaction,absorptivity,0.07,dimensionless,0.01,0.15
Laser-Material Interaction,absorptionCoefficient,50000,m⁻¹,10000,100000
Laser-Material Interaction,laserDamageThreshold,12,J/cm²,5,20
Laser-Material Interaction,thermalShockResistance,2,MW/m,1,3
Laser-Material Interaction,reflectivity,0.07,dimensionless,0.05,0.1
Laser-Material Interaction,thermalDestructionPoint,2300,K,2200,2400
Laser-Material Interaction,vaporPressure,0.01,Pa,0.001,1
Laser-Material Interaction,thermalDestruction,2345.0,K,,
Laser-Material Interaction,laserReflectivity,0.075,dimensionless,,
Laser-Material Interaction,thermalExpansion,8.1e-06,K^{-1},,
Laser-Material Interaction,thermalConductivity,25.0,W/m·K,,
Laser-Material Interaction,specificHeat,880.0,J/(kg·K),,
Laser-Material Interaction,laserAbsorption,50.0,m^{-1},,
Laser-Material Interaction,thermalDiffusivity,8.57e-06,m²/s,,
Laser-Material Interaction,ablationThreshold,2.1,J/cm²,,
