Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Aluminosilicate Glass,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: aluminosilicate glass, laser cleaning, glass, specialty, material properties",,,,,
# Last Modified: 2026-01-09,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,200,μm,0.1,500
Machine Setting,Energydensity,2,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,1500,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,60,%,10,90
Machine Setting,Laserpower,70,W,1.0,120
Machine Setting,Laserpoweralternative,100,W,20,500
Machine Setting,Frequency,50,kHz,1,200
Material Characteristics,Density,2.53,g/cm³,None,None
Material Characteristics,Porosity,0,%,None,None
Material Characteristics,Surfaceroughness,0.1,μm,None,None
Material Characteristics,Tensilestrength,750,MPa,None,None
Material Characteristics,Youngsmodulus,85,GPa,None,None
Material Characteristics,Hardness,0.85,GPa,None,None
Material Characteristics,Flexuralstrength,900,MPa,None,None
Material Characteristics,Oxidationresistance,12,μm/year,None,None
Material Characteristics,Corrosionresistance,0.92,mm/year,None,None
Material Characteristics,Compressivestrength,750,MPa,None,None
Material Characteristics,Fracturetoughness,4.5,MPa m^{1/2},None,None
Material Characteristics,Electricalresistivity,100000000000000.0,Ω·m,None,None
Laser-Material Interaction,Thermaldestruction,1473,K,None,None
Laser-Material Interaction,Laserabsorption,0.05,dimensionless,None,None
Laser-Material Interaction,Laserdamagethreshold,8.5,J/cm²,None,None
Laser-Material Interaction,Ablationthreshold,2.8,J/cm²,None,None
Laser-Material Interaction,Thermaldiffusivity,5.34e-07,m²/s,None,None
Laser-Material Interaction,Thermalexpansion,3.8e-06,1/K,None,None
Laser-Material Interaction,Specificheat,740.0,J/(kg·K),None,None
Laser-Material Interaction,Thermalconductivity,1.05,W/(m·K),None,None
Laser-Material Interaction,Laserreflectivity,0.042,%,None,None
,Metric,1064,nm,None,None
