Category,Property,Value,Unit,Min,Max
Material Characteristics,density,3.26,g/cm³,,
Material Characteristics,porosity,0,%,,
Material Characteristics,surfaceRoughness,0.5,μm,,
Material Characteristics,tensileStrength,300,MPa,,
Material Characteristics,youngsModulus,310,GPa,,
Material Characteristics,hardness,12,GPa,,
Material Characteristics,flexuralStrength,350,MPa,,
Material Characteristics,oxidationResistance,20,μm/year,,
Material Characteristics,corrosionResistance,0.78,mm/year,,
Material Characteristics,compressiveStrength,300,MPa,,
Material Characteristics,fractureToughness,18,MPa m^{1/2},,
Material Characteristics,electricalResistivity,10000000000000.0,Ω·m,,
Laser-Material Interaction,thermalDestruction,2473,K,,
Laser-Material Interaction,laserAbsorption,0.15,dimensionless,,
Laser-Material Interaction,laserDamageThreshold,12.5,J/cm²,,
Laser-Material Interaction,ablationThreshold,2.1,J/cm²,,
Laser-Material Interaction,thermalDiffusivity,8.5e-05,m²/s,,
Laser-Material Interaction,thermalExpansion,4.5e-06,K^{-1},,
Laser-Material Interaction,specificHeat,740.0,J/(kg·K),,
Laser-Material Interaction,thermalConductivity,170.0,W/m·K,,
Laser-Material Interaction,laserReflectivity,0.23,,,
