Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,2.47,MPa√m,,
Material Characteristics,density,700.0,kg/m³,,
Material Characteristics,oxidationResistance,168.0,kJ/mol,,
Material Characteristics,youngsModulus,21.5,GPa,,
Material Characteristics,hardness,6144.0,N,,
Material Characteristics,compressiveStrength,56.0,MPa,,
Material Characteristics,tensileStrength,180.0,MPa,,
Material Characteristics,flexuralStrength,140.0,MPa,,
Material Characteristics,corrosionResistance,0.75,dimensionless (durability index),,
Material Characteristics,porosity,0.58,fraction,,
Material Characteristics,laserDamageThreshold,4.2,J/cm²,,
Laser-Material Interaction,absorptivity,0.85,dimensionless,0.7,0.95
Laser-Material Interaction,absorptionCoefficient,500000,m⁻¹,100000,1000000
Laser-Material Interaction,laserDamageThreshold,5,J/cm²,1,10
Laser-Material Interaction,thermalShockResistance,1.2,MW/m,0.5,2
Laser-Material Interaction,reflectivity,0.12,dimensionless,0.05,0.2
Laser-Material Interaction,thermalDestructionPoint,500,K,450,550
Laser-Material Interaction,vaporPressure,100,Pa,10,1000
Laser-Material Interaction,thermalDestruction,588.0,K,,
Laser-Material Interaction,laserReflectivity,0.15,dimensionless,,
Laser-Material Interaction,thermalExpansion,3.2e-06,K^{-1},,
Laser-Material Interaction,thermalConductivity,0.2,W/m·K,,
Laser-Material Interaction,specificHeat,1380.0,J/(kg·K),,
Laser-Material Interaction,laserAbsorption,0.92,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,1.26e-07,m²/s,,
Laser-Material Interaction,ablationThreshold,1.85,J/cm²,,
