Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Beech,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: beech, laser cleaning, wood, hardwood, material properties",,,,,
# Last Modified: 2026-01-08,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,300,μm,0.1,500
Machine Setting,Fluencethreshold,2.5,J/cm²,0.3,4.5
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,1000,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,70,%,10,90
Machine Setting,Energydensity,1.5,J/cm²,0.1,20.0
Machine Setting,Laserpower,100,W,1.0,120
Machine Setting,Laserpoweralternative,150,W,50,300
Machine Setting,Frequency,30,kHz,1,200
,Crystallinestructure,amorphous,crystal system,None,None
Material Characteristics,Fracturetoughness,0.39,MPa√m,None,None
Material Characteristics,Corrosionresistance,0.25,dimensionless (durability index),None,None
Material Characteristics,Flexuralstrength,100.0,MPa,None,None
Material Characteristics,Oxidationresistance,19.7,vol% O2,None,None
Material Characteristics,Porosity,0.59,fraction,None,None
Material Characteristics,Tensilestrength,100.0,MPa,None,None
Material Characteristics,Compressivestrength,40.0,MPa,None,None
Material Characteristics,Youngsmodulus,11.4,GPa,None,None
Material Characteristics,Density,720.0,kg/m³,None,None
Material Characteristics,Hardness,5782.0,N,None,None
Material Characteristics,Laserdamagethreshold,14.2,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.85,dimensionless,0.7,0.95
Laser-Material Interaction,Absorptioncoefficient,1000000,m⁻¹,500000,2000000
Laser-Material Interaction,Laserdamagethreshold,1.5,J/cm²,0.5,3.0
Laser-Material Interaction,Thermalshockresistance,1.2,MW/m,0.8,2.0
Laser-Material Interaction,Reflectivity,0.15,dimensionless,0.05,0.3
Laser-Material Interaction,Thermaldestructionpoint,523,K,473,573
Laser-Material Interaction,Vaporpressure,1000,Pa,100,5000
Laser-Material Interaction,Laserreflectivity,0.42,dimensionless,None,None
Laser-Material Interaction,Thermaldestruction,573.0,K,None,None
Laser-Material Interaction,Thermalexpansion,4e-05,K^{-1},None,None
Laser-Material Interaction,Specificheat,1380.0,J/(kg·K),None,None
Laser-Material Interaction,Laserabsorption,31000.0,m^{-1},None,None
Laser-Material Interaction,Thermalconductivity,0.17,W/m·K,None,None
Laser-Material Interaction,Thermaldiffusivity,1.63e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,2.3,J/cm²,None,None
,Porosity,0.59,fraction,None,None
,Tensilestrength,100.0,MPa,None,None
,Thermalconductivity,0.17,W/m·K,None,None
,Thermaldestruction,573.0,K,None,None
,Fracturetoughness,0.39,MPa√m,None,None
,Density,720.0,kg/m³,None,None
,Thermalexpansion,4e-05,K^{-1},None,None
,Laserabsorption,31000.0,m^{-1},None,None
,Oxidationresistance,19.7,vol% O2,None,None
,Specificheat,1380.0,J/(kg·K),None,None
,Youngsmodulus,11.4,GPa,None,None
,Corrosionresistance,0.25,dimensionless (durability index),None,None
,Compressivestrength,40.0,MPa,None,None
,Flexuralstrength,100.0,MPa,None,None
,Hardness,5782.0,N,None,None
,Laserreflectivity,0.42,dimensionless,None,None
,Thermaldiffusivity,1.63e-07,m²/s,None,None
,Metric,1064,nm,None,None
