Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Boron Carbide,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: boron carbide, laser cleaning, ceramic, carbide, material properties",,,,,
# Last Modified: 2026-01-14,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,200,μm,0.1,500
Machine Setting,Energydensity,1.5,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,1000,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,70,%,10,90
Machine Setting,Laserpower,80,W,1.0,120
Machine Setting,Laserpoweralternative,100,W,50,300
Machine Setting,Frequency,50,kHz,1,200
Material Characteristics,Density,2.52,g/cm³,None,None
Material Characteristics,Porosity,0,%,None,None
Material Characteristics,Surfaceroughness,0.4,μm,None,None
Material Characteristics,Tensilestrength,350,MPa,None,None
Material Characteristics,Youngsmodulus,450,GPa,None,None
Material Characteristics,Hardness,38,GPa,None,None
Material Characteristics,Flexuralstrength,400,MPa,None,None
Material Characteristics,Oxidationresistance,30,μm/year,None,None
Material Characteristics,Corrosionresistance,0.75,mm/year,None,None
Material Characteristics,Compressivestrength,350,MPa,None,None
Material Characteristics,Fracturetoughness,28,MPa m^{1/2},None,None
Material Characteristics,Electricalresistivity,10,Ω·m,None,None
Laser-Material Interaction,Thermaldestruction,2723,K,None,None
Laser-Material Interaction,Laserabsorption,0.18,dimensionless,None,None
Laser-Material Interaction,Laserdamagethreshold,5.2,J/cm²,None,None
Laser-Material Interaction,Ablationthreshold,2.8,J/cm²,None,None
Laser-Material Interaction,Thermaldiffusivity,1.18e-05,m²/s,None,None
Laser-Material Interaction,Thermalexpansion,5.6e-06,K^{-1},None,None
Laser-Material Interaction,Specificheat,1076.0,J/(kg·K),None,None
Laser-Material Interaction,Thermalconductivity,30.0,W/m·K,None,None
Laser-Material Interaction,Laserreflectivity,0.32,dimensionless,None,None
,Metric,1064,nm,None,None
