Category,Property,Value,Unit,Min,Max
Material Characteristics,density,2.52,g/cm³,,
Material Characteristics,porosity,0,%,,
Material Characteristics,surfaceRoughness,0.4,μm,,
Material Characteristics,tensileStrength,350,MPa,,
Material Characteristics,youngsModulus,450,GPa,,
Material Characteristics,hardness,38,GPa,,
Material Characteristics,flexuralStrength,400,MPa,,
Material Characteristics,oxidationResistance,30,μm/year,,
Material Characteristics,corrosionResistance,0.75,mm/year,,
Material Characteristics,compressiveStrength,350,MPa,,
Material Characteristics,fractureToughness,28,MPa m^{1/2},,
Material Characteristics,electricalResistivity,10,Ω·m,,
Laser-Material Interaction,thermalDestruction,2723,K,,
Laser-Material Interaction,laserAbsorption,0.18,dimensionless,,
Laser-Material Interaction,laserDamageThreshold,5.2,J/cm²,,
Laser-Material Interaction,ablationThreshold,2.8,J/cm²,,
Laser-Material Interaction,thermalDiffusivity,1.18e-05,m²/s,,
Laser-Material Interaction,thermalExpansion,5.6e-06,K^{-1},,
Laser-Material Interaction,specificHeat,1076.0,J/(kg·K),,
Laser-Material Interaction,thermalConductivity,30.0,W/m·K,,
Laser-Material Interaction,laserReflectivity,0.32,dimensionless,,
