Category,Property,Value,Unit,Min,Max
Material Characteristics,electricalResistivity,10000000000000.0,ohm-m,,
Material Characteristics,fractureToughness,0.75,MPa m^{1/2},,
Material Characteristics,density,2.23,g/cm³,,
Material Characteristics,oxidationResistance,723.0,K,,
Material Characteristics,youngsModulus,63.0,GPa,,
Material Characteristics,hardness,5.4,GPa,,
Material Characteristics,compressiveStrength,1000.0,MPa,,
Material Characteristics,tensileStrength,50.0,MPa,,
Material Characteristics,flexuralStrength,70.0,MPa,,
Material Characteristics,corrosionResistance,0.95,dimensionless,,
Material Characteristics,laserDamageThreshold,14.5,J/cm²,,
Laser-Material Interaction,absorptivity,0.05,dimensionless,0.01,0.1
Laser-Material Interaction,absorptionCoefficient,1000,m⁻¹,100,10000
Laser-Material Interaction,laserDamageThreshold,15,J/cm²,10,20
Laser-Material Interaction,thermalShockResistance,1.5,MW/m,1,2
Laser-Material Interaction,reflectivity,0.08,dimensionless,0.05,0.1
Laser-Material Interaction,thermalDestructionPoint,1400,K,1300,1500
Laser-Material Interaction,vaporPressure,0.01,Pa,0.001,0.1
Laser-Material Interaction,thermalDestruction,1093.0,K,,
Laser-Material Interaction,laserReflectivity,0.04,1,,
Laser-Material Interaction,thermalExpansion,3.3e-06,K^{-1},,
Laser-Material Interaction,thermalConductivity,1.14,W/m·K,,
Laser-Material Interaction,specificHeat,830.0,J/(kg·K),,
Laser-Material Interaction,laserAbsorption,8.3,m^{-1},,
Laser-Material Interaction,thermalDiffusivity,6.2e-07,m²/s,,
Laser-Material Interaction,ablationThreshold,3.8,J/cm²,,
