Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,0.85,MPa·m^{1/2},,
Material Characteristics,density,2710.0,kg/m³,,
Material Characteristics,oxidationResistance,0.87,dimensionless (resistance index),,
Material Characteristics,youngsModulus,32.5,GPa,,
Material Characteristics,hardness,3.5,Mohs,,
Material Characteristics,compressiveStrength,125.0,MPa,,
Material Characteristics,tensileStrength,3.2,MPa,,
Material Characteristics,flexuralStrength,11.2,MPa,,
Material Characteristics,corrosionResistance,0.85,dimensionless (resistance index),,
Material Characteristics,porosity,0.15,fraction,,
Material Characteristics,laserDamageThreshold,1.15,J/cm²,,
Laser-Material Interaction,absorptivity,0.75,dimensionless,0.6,0.9
Laser-Material Interaction,absorptionCoefficient,5000000,m⁻¹,1000000,10000000
Laser-Material Interaction,laserDamageThreshold,2.5,J/cm²,1.0,5.0
Laser-Material Interaction,thermalShockResistance,1.5,MW/m,0.8,2.5
Laser-Material Interaction,reflectivity,0.25,dimensionless,0.1,0.4
Laser-Material Interaction,thermalDestructionPoint,1073,K,900,1300
Laser-Material Interaction,vaporPressure,10,Pa,0.1,100
Laser-Material Interaction,thermalDestruction,1673.0,K,,
Laser-Material Interaction,laserReflectivity,0.22,,,
Laser-Material Interaction,thermalExpansion,8.2e-06,K^{-1},,
Laser-Material Interaction,thermalConductivity,2.3,W/m·K,,
Laser-Material Interaction,specificHeat,880.0,J/(kg·K),,
Laser-Material Interaction,laserAbsorption,4500.0,cm^{-1},,
Laser-Material Interaction,thermalDiffusivity,1.05e-06,m²/s,,
Laser-Material Interaction,ablationThreshold,1.45,J/cm²,,
