Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,0.75,MPa√m,,
Material Characteristics,density,1920.0,kg/m³,,
Material Characteristics,oxidationResistance,0.98,"dimensionless (scale 0-1, where 1 indicates complete resistance)",,
Material Characteristics,youngsModulus,11.0,GPa,,
Material Characteristics,hardness,2.5,Mohs,,
Material Characteristics,compressiveStrength,20.0,MPa,,
Material Characteristics,tensileStrength,2.5,MPa,,
Material Characteristics,flexuralStrength,8.3,MPa,,
Material Characteristics,corrosionResistance,0.0005,mm/year,,
Material Characteristics,laserDamageThreshold,2.5,J/cm²,,
Laser-Material Interaction,absorptivity,0.85,dimensionless,0.7,0.95
Laser-Material Interaction,absorptionCoefficient,5000000,m⁻¹,1000000,10000000
Laser-Material Interaction,laserDamageThreshold,2.5,J/cm²,1.0,5.0
Laser-Material Interaction,thermalShockResistance,2.0,MW/m,1.0,4.0
Laser-Material Interaction,reflectivity,0.15,dimensionless,0.05,0.3
Laser-Material Interaction,thermalDestructionPoint,1473,K,1273,1673
Laser-Material Interaction,vaporPressure,0.1,Pa,0.001,10
Laser-Material Interaction,thermalDestruction,1323.0,K,,
Laser-Material Interaction,laserReflectivity,0.28,dimensionless,,
Laser-Material Interaction,thermalExpansion,6e-06,1/K,,
Laser-Material Interaction,thermalConductivity,0.72,W/m·K,,
Laser-Material Interaction,specificHeat,880.0,J/(kg·K),,
Laser-Material Interaction,laserAbsorption,0.92,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,4.26e-07,m²/s,,
Laser-Material Interaction,ablationThreshold,1.15,J/cm²,,
