Category,Property,Value,Unit,Min,Max
Machine Setting,Powerrange,45,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,80,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Fluencethreshold,2.5,J/cm²,0.3,4.5
Machine Setting,Pulsewidth,12,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Power,50,W,20,200
Machine Setting,Scan Speed,500,mm/s,10,5000
Machine Setting,Pulse Width,10,ns,0.1,1000
Machine Setting,Repetition Rate,20,kHz,1,200
Machine Setting,Energy Density,1.0,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,70,%,10,90
,Crystallinestructure,crystalline,crystal system,None,None
Material Characteristics,Fracturetoughness,0.25,MPa√m,None,None
Material Characteristics,Density,2710.0,kg/m³,None,None
Material Characteristics,Oxidationresistance,0.98,dimensionless (relative resistance scale 0-1),None,None
Material Characteristics,Youngsmodulus,69.0,GPa,None,None
Material Characteristics,Hardness,3.0,Mohs,None,None
Material Characteristics,Compressivestrength,150.0,MPa,None,None
Material Characteristics,Tensilestrength,23.0,MPa,None,None
Material Characteristics,Flexuralstrength,15.0,MPa,None,None
Material Characteristics,Corrosionresistance,0.25,dimensionless,None,None
Material Characteristics,Porosity,0.6,%,None,None
Material Characteristics,Laserdamagethreshold,2.8,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.3,dimensionless,0.2,0.4
Laser-Material Interaction,Absorptioncoefficient,10000,m⁻¹,1000,50000
Laser-Material Interaction,Laserdamagethreshold,10,J/cm²,5,15
Laser-Material Interaction,Thermalshockresistance,1.5,MW/m,1,2
Laser-Material Interaction,Reflectivity,0.06,dimensionless,0.05,0.1
Laser-Material Interaction,Thermaldestructionpoint,1100,K,1000,1200
Laser-Material Interaction,Vaporpressure,100,Pa,10,1000
Laser-Material Interaction,Thermaldestruction,1098.0,K,None,None
Laser-Material Interaction,Laserreflectivity,0.048,,None,None
Laser-Material Interaction,Thermalexpansion,1.23e-05,K^{-1},None,None
Laser-Material Interaction,Thermalconductivity,2.9,W/m·K,None,None
Laser-Material Interaction,Specificheat,831.3,J/kg·K,None,None
Laser-Material Interaction,Laserabsorption,800000.0,m^{-1},None,None
Laser-Material Interaction,Thermaldiffusivity,1.26e-06,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,2.1,J/cm²,None,None
,Metric,1064,nm,None,None
