Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,0.25,MPa√m,,
Material Characteristics,density,2710.0,kg/m³,,
Material Characteristics,oxidationResistance,0.98,dimensionless (relative resistance scale 0-1),,
Material Characteristics,youngsModulus,69.0,GPa,,
Material Characteristics,hardness,3.0,Mohs,,
Material Characteristics,compressiveStrength,150.0,MPa,,
Material Characteristics,tensileStrength,23.0,MPa,,
Material Characteristics,flexuralStrength,15.0,MPa,,
Material Characteristics,corrosionResistance,0.25,dimensionless,,
Material Characteristics,porosity,0.6,%,,
Material Characteristics,laserDamageThreshold,2.8,J/cm²,,
Laser-Material Interaction,absorptivity,0.3,dimensionless,0.2,0.4
Laser-Material Interaction,absorptionCoefficient,10000,m⁻¹,1000,50000
Laser-Material Interaction,laserDamageThreshold,10,J/cm²,5,15
Laser-Material Interaction,thermalShockResistance,1.5,MW/m,1,2
Laser-Material Interaction,reflectivity,0.06,dimensionless,0.05,0.1
Laser-Material Interaction,thermalDestructionPoint,1100,K,1000,1200
Laser-Material Interaction,vaporPressure,100,Pa,10,1000
Laser-Material Interaction,thermalDestruction,1098.0,K,,
Laser-Material Interaction,laserReflectivity,0.048,,,
Laser-Material Interaction,thermalExpansion,1.23e-05,K^{-1},,
Laser-Material Interaction,thermalConductivity,2.9,W/m·K,,
Laser-Material Interaction,specificHeat,831.3,J/kg·K,,
Laser-Material Interaction,laserAbsorption,800000.0,m^{-1},,
Laser-Material Interaction,thermalDiffusivity,1.26e-06,m²/s,,
Laser-Material Interaction,ablationThreshold,2.1,J/cm²,,
