Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,0.55,MPa m^{1/2},,
Material Characteristics,density,3150.0,kg/m³,,
Material Characteristics,oxidationResistance,1.0,dimensionless,,
Material Characteristics,youngsModulus,21.0,GPa,,
Material Characteristics,hardness,0.3,GPa,,
Material Characteristics,compressiveStrength,42.5,MPa,,
Material Characteristics,tensileStrength,3.2,MPa,,
Material Characteristics,flexuralStrength,7.5,MPa,,
Material Characteristics,corrosionResistance,0.92,dimensionless (normalized resistance index 0-1),,
Material Characteristics,laserDamageThreshold,1.2,J/cm²,,
Laser-Material Interaction,absorptivity,0.85,dimensionless,0.7,0.95
Laser-Material Interaction,absorptionCoefficient,500000,m⁻¹,100000,1000000
Laser-Material Interaction,laserDamageThreshold,8,J/cm²,1,20
Laser-Material Interaction,thermalShockResistance,1.5,MW/m,0.5,3
Laser-Material Interaction,reflectivity,0.15,dimensionless,0.05,0.3
Laser-Material Interaction,thermalDestructionPoint,1000,K,800,1500
Laser-Material Interaction,vaporPressure,10,Pa,0.1,100
Laser-Material Interaction,thermalDestruction,773.0,K,,
Laser-Material Interaction,laserReflectivity,0.35,dimensionless,,
Laser-Material Interaction,thermalExpansion,1.1e-05,K^{-1},,
Laser-Material Interaction,thermalConductivity,0.72,W/m·K,,
Laser-Material Interaction,specificHeat,880.0,J/(kg·K),,
Laser-Material Interaction,laserAbsorption,0.42,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,5.26e-07,m^2/s,,
Laser-Material Interaction,ablationThreshold,2.1,J/cm²,,
