Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Cerium,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: cerium, laser cleaning, rare-earth, lanthanide, material properties",,,,,
# Last Modified: 2026-01-05,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,50,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Fluencethreshold,5.1,J/cm²,0.3,6.12
Machine Setting,Energydensity,5.1,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Power,50,W,20,200
Machine Setting,Scan Speed,500,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,30,kHz,1,200
Machine Setting,Energy Density,1.0,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,50,%,10,90
,Absorption Coefficient,None,,0.8,0.9
,Density,None,g/cm³,6.75,6.79
,Hardness Vickers,None,HV,250,290
,Laser Damage Threshold,None,J/cm²,0.6,1.0
,Melting Point,None,K,1065,1071
,Thermal Conductivity,None,W/(m·K),10.8,11.8
,Young Modulus,None,GPa,32.0,35.0
Material Characteristics,Density,6.77,g/cm³,None,None
Material Characteristics,Oxidationresistance,-2.483,V,None,None
Material Characteristics,Youngsmodulus,33.0,GPa,None,None
Material Characteristics,Hardness,27.0,HV,None,None
Material Characteristics,Boilingpoint,3716.0,K,None,None
Material Characteristics,Absorptivity,0.42,dimensionless,None,None
Laser-Material Interaction,Absorptivity,0.62,dimensionless,None,None
Laser-Material Interaction,Thermaldestruction,1071.0,K,None,None
Laser-Material Interaction,Laserreflectivity,0.92,dimensionless,None,None
Laser-Material Interaction,Thermalexpansion,6.3e-06,K^{-1},None,None
Laser-Material Interaction,Thermalconductivity,11.3,W/m·K,None,None
Laser-Material Interaction,Specificheat,192.1,J/(kg·K),None,None
Laser-Material Interaction,Ablationthreshold,1.5,J/cm²,None,None
Laser-Material Interaction,Absorptioncoefficient,12500000.0,m^{-1},None,None
Laser-Material Interaction,Laserdamagethreshold,1.8,J/cm²,None,None
Laser-Material Interaction,Thermaldiffusivity,8.67e-06,m²/s,None,None
,Metric,1064,nm,None,None
