Category,Property,Value,Unit,Min,Max
Material Characteristics,density,6.77,g/cm³,,
Material Characteristics,oxidationResistance,-2.483,V,,
Material Characteristics,youngsModulus,33.0,GPa,,
Material Characteristics,hardness,27.0,HV,,
Material Characteristics,boilingPoint,3716.0,K,,
Material Characteristics,absorptivity,0.42,dimensionless,,
Laser-Material Interaction,absorptivity,0.62,dimensionless,,
Laser-Material Interaction,thermalDestruction,1071.0,K,,
Laser-Material Interaction,laserReflectivity,0.92,dimensionless,,
Laser-Material Interaction,thermalExpansion,6.3e-06,K^{-1},,
Laser-Material Interaction,thermalConductivity,11.3,W/m·K,,
Laser-Material Interaction,specificHeat,192.1,J/(kg·K),,
Laser-Material Interaction,ablationThreshold,1.5,J/cm²,,
Laser-Material Interaction,absorptionCoefficient,12500000.0,m^{-1},,
Laser-Material Interaction,laserDamageThreshold,1.8,J/cm²,,
Laser-Material Interaction,thermalDiffusivity,8.67e-06,m²/s,,
