Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Cobalt,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: cobalt, laser cleaning, metal, specialty, material properties",,,,,
# Last Modified: 2026-01-09,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,200,μm,0.1,500
Machine Setting,Fluencethreshold,2.5,J/cm²,0.3,4.5
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,1500,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,60,%,10,90
Machine Setting,Energydensity,1.5,J/cm²,0.1,20.0
Machine Setting,Laserpower,100,W,1.0,120
Machine Setting,Laserpoweralternative,100,W,50,500
Machine Setting,Frequency,50,kHz,1,200
,Crystallinestructure,FCC,crystal system,None,None
Material Characteristics,Electricalconductivity,16025641.025641026,S/m,None,None
Material Characteristics,Electricalresistivity,6.24e-08,Ω·m,None,None
Material Characteristics,Fracturetoughness,56.0,MPa√m,None,None
Material Characteristics,Surfaceroughness,0.32,μm,None,None
Material Characteristics,Density,8900.0,kg/m³,None,None
Material Characteristics,Oxidationresistance,873.0,K,None,None
Material Characteristics,Youngsmodulus,210.0,GPa,None,None
Material Characteristics,Hardness,220.0,HV,None,None
Material Characteristics,Compressivestrength,241.0,MPa,None,None
Material Characteristics,Tensilestrength,241.0,MPa,None,None
Material Characteristics,Flexuralstrength,310.0,MPa,None,None
Material Characteristics,Corrosionresistance,0.02,mm/year,None,None
Material Characteristics,Porosity,0.0,fraction,None,None
Material Characteristics,Boilingpoint,3200.0,K,None,None
Material Characteristics,Absorptivity,0.35,dimensionless,None,None
Material Characteristics,Absorptioncoefficient,44800000.0,m^{-1},None,None
Material Characteristics,Reflectivity,0.66,dimensionless,None,None
Material Characteristics,Vaporpressure,101325.0,Pa,None,None
Material Characteristics,Meltingpoint,1768.0,K,None,None
Material Characteristics,Thermaldestructionpoint,1768.0,K,None,None
Material Characteristics,Thermalshockresistance,78.5,K,None,None
Material Characteristics,Laserdamagethreshold,1.8,J/cm²,None,None
Laser-Material Interaction,Absorptioncoefficient,11200000.0,m⁻¹,None,None
Laser-Material Interaction,Absorptivity,0.35,dimensionless,None,None
Laser-Material Interaction,Laserdamagethreshold,0.45,J/cm²,None,None
Laser-Material Interaction,Reflectivity,0.66,dimensionless (reflectance),None,None
Laser-Material Interaction,Thermaldestructionpoint,1768.0,K,None,None
Laser-Material Interaction,Thermalshockresistance,4.2,MPa·m^0.5,None,None
Laser-Material Interaction,Vaporpressure,1.33,Pa,None,None
Laser-Material Interaction,Thermaldestruction,1768.0,K,None,None
Laser-Material Interaction,Laserreflectivity,0.68,dimensionless,None,None
Laser-Material Interaction,Thermalexpansion,12.5,10^{-6} K^{-1},None,None
Laser-Material Interaction,Thermalconductivity,100.0,W/m·K,None,None
Laser-Material Interaction,Specificheat,421.0,J/kg·K,None,None
Laser-Material Interaction,Laserabsorption,0.37,dimensionless,None,None
Laser-Material Interaction,Thermaldiffusivity,2.67e-05,m^2/s,None,None
Laser-Material Interaction,Ablationthreshold,1.2,J/cm²,None,None
,Metric,1064,nm,None,None
