Category,Property,Value,Unit,Min,Max
Material Characteristics,density,8.96,g/cm³,0.53,22.6
Material Characteristics,porosity,0,%,0.0,15.0
Material Characteristics,surfaceRoughness,0.1,μm Ra,0.4,150
Material Characteristics,tensileStrength,220.0,MPa,3.0,3000.0
Material Characteristics,youngsModulus,117.0,GPa,5,600
Material Characteristics,hardness,0.49,GPa,0.5,3500
Material Characteristics,flexuralStrength,210,MPa,2.5,1050.0
Material Characteristics,oxidationResistance,150,°C,200,1200
Material Characteristics,corrosionResistance,0.05,mm/year,1,10
Material Characteristics,compressiveStrength,70.0,MPa,,
Material Characteristics,fractureToughness,47.0,MPa√m,,
Material Characteristics,electricalResistivity,1.68e-08,Ω·m,,
Material Characteristics,boilingPoint,2835.0,K,,
Material Characteristics,electricalConductivity,59600000.0,S/m,,
Material Characteristics,meltingPoint,1357.77,K,,
Laser-Material Interaction,thermalConductivity,401.0,W/(m·K),7.0,430
Laser-Material Interaction,thermalExpansion,16.5,10^{-6}/K,0.5,33
Laser-Material Interaction,thermalDiffusivity,1.17,10^{-4} m²/s,0.06,174
Laser-Material Interaction,specificHeat,385.0,J/(kg·K),100,2000
Laser-Material Interaction,thermalShockResistance,250,kW/m²,50,400
Laser-Material Interaction,laserReflectivity,0.98,,5,99.9
Laser-Material Interaction,absorptionCoefficient,9.5,10^6 cm^{-1},100000,50000000
Laser-Material Interaction,ablationThreshold,1.2,J/cm²,2.0,8.0
Laser-Material Interaction,laserDamageThreshold,0.8,J/cm²,0.1,20.0
Laser-Material Interaction,thermalDestruction,1357.77,K,,
Laser-Material Interaction,laserAbsorption,0.035,,,
Laser-Material Interaction,absorptivity,0.035,dimensionless,,
Laser-Material Interaction,reflectivity,0.975,dimensionless,,
Laser-Material Interaction,vaporPressure,101325.0,Pa,,
Laser-Material Interaction,thermalDestructionPoint,1357.77,K,,
