Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Dysprosium,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: dysprosium, laser cleaning, rare-earth, lanthanide, material properties",,,,,
# Last Modified: 2025-12-29,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,95,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,80,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Fluencethreshold,2.5,J/cm²,0.3,4.5
Machine Setting,Pulsewidth,12,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Power,200,W,50,500
Machine Setting,Scan Speed,1500,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,50,kHz,1,200
Machine Setting,Energy Density,1.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,60,%,10,90
,Crystallinestructure,HCP,crystal system,None,None
Material Characteristics,Density,8550.0,kg/m³,None,None
Material Characteristics,Oxidationresistance,-2.32,V,None,None
Material Characteristics,Youngsmodulus,28.0,GPa,None,None
Material Characteristics,Hardness,0.41,GPa,None,None
Material Characteristics,Boilingpoint,2840.0,K,None,None
Material Characteristics,Absorptivity,0.28,dimensionless,None,None
Laser-Material Interaction,Absorptivity,0.72,dimensionless,None,None
Laser-Material Interaction,Thermaldestruction,1685.0,K,None,None
Laser-Material Interaction,Laserreflectivity,0.925,dimensionless,None,None
Laser-Material Interaction,Thermalexpansion,2.55e-05,K^{-1},None,None
Laser-Material Interaction,Thermalconductivity,10.7,W/m·K,None,None
Laser-Material Interaction,Specificheat,171.5,J/(kg·K),None,None
Laser-Material Interaction,Ablationthreshold,0.82,J/cm²,None,None
Laser-Material Interaction,Absorptioncoefficient,1250000.0,cm^{-1},None,None
Laser-Material Interaction,Thermaldiffusivity,7.4e-06,m²/s,None,None
Laser-Material Interaction,Laserdamagethreshold,0.42,J/cm²,None,None
,Metric,1064,nm,None,None
