Category,Property,Value,Unit,Min,Max
Material Characteristics,electricalResistivity,100000000000000.0,ohm-m,,
Material Characteristics,fractureToughness,1.2,MPa√m,,
Material Characteristics,density,1800.0,kg/m³,,
Material Characteristics,oxidationResistance,310.0,°C,,
Material Characteristics,youngsModulus,25000000000.0,Pa,,
Material Characteristics,hardness,85.0,Shore D,,
Material Characteristics,compressiveStrength,550.0,MPa,,
Material Characteristics,tensileStrength,450.0,MPa,,
Material Characteristics,flexuralStrength,420.0,MPa,,
Material Characteristics,corrosionResistance,0.95,dimensionless,,
Material Characteristics,laserDamageThreshold,2.3,J/cm²,,
Laser-Material Interaction,absorptivity,0.25,dimensionless,0.1,0.5
Laser-Material Interaction,absorptionCoefficient,50000,m⁻¹,10000,200000
Laser-Material Interaction,laserDamageThreshold,4.5,J/cm²,1.0,10.0
Laser-Material Interaction,thermalShockResistance,1.2,MW/m,0.5,2.5
Laser-Material Interaction,reflectivity,0.05,dimensionless,0.03,0.1
Laser-Material Interaction,thermalDestructionPoint,600,K,500,700
Laser-Material Interaction,vaporPressure,200,Pa,50,1000
Laser-Material Interaction,thermalDestruction,623.0,K,,
Laser-Material Interaction,laserReflectivity,0.05,dimensionless,,
Laser-Material Interaction,thermalExpansion,2e-05,K^{-1},,
Laser-Material Interaction,thermalConductivity,0.35,W/(m·K),,
Laser-Material Interaction,specificHeat,1100.0,J/(kg·K),,
Laser-Material Interaction,laserAbsorption,35000.0,m^{-1},,
Laser-Material Interaction,thermalDiffusivity,1.15e-07,m²/s,,
Laser-Material Interaction,ablationThreshold,1.2,J/cm²,,
