Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Fiber Reinforced Polyurethane FRPU,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: fiber reinforced polyurethane frpu, laser cleaning, composite, fiber-reinforced, material properties",,,,,
# Last Modified: 2025-12-29,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,100,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Energydensity,2.5,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Power,100,W,50,200
Machine Setting,Scan Speed,1500,mm/s,10,5000
Machine Setting,Pulse Width,50,ns,0.1,1000
Machine Setting,Repetition Rate,40,kHz,1,200
Machine Setting,Energy Density,0.8,J/cm²,0.1,20.0
Machine Setting,Spot Size,150,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,60,%,10,90
,Crystallinestructure,mixed,crystal system,None,None
Material Characteristics,Electricalresistivity,1200000000000.0,Ω·m,None,None
Material Characteristics,Fracturetoughness,2.1,MPa m^{1/2},None,None
Material Characteristics,Density,1.2,g/cm³,None,None
Material Characteristics,Oxidationresistance,0.02,%/hour,None,None
Material Characteristics,Youngsmodulus,3.2,GPa,None,None
Material Characteristics,Hardness,65.0,Shore D,None,None
Material Characteristics,Compressivestrength,145.0,MPa,None,None
Material Characteristics,Tensilestrength,48.0,MPa,None,None
Material Characteristics,Flexuralstrength,115.0,MPa,None,None
Material Characteristics,Corrosionresistance,9.2,dimensionless (corrosion resistance rating scale 0-10),None,None
Material Characteristics,Laserdamagethreshold,1.8,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.2,dimensionless,0.1,0.4
Laser-Material Interaction,Absorptioncoefficient,50000,m⁻¹,10000,100000
Laser-Material Interaction,Laserdamagethreshold,5,J/cm²,2,10
Laser-Material Interaction,Thermalshockresistance,1,MW/m,0.5,2
Laser-Material Interaction,Reflectivity,0.7,dimensionless,0.5,0.9
Laser-Material Interaction,Thermaldestructionpoint,600,K,500,700
Laser-Material Interaction,Vaporpressure,10,Pa,1,100
Laser-Material Interaction,Thermaldestruction,573.0,K,None,None
Laser-Material Interaction,Laserreflectivity,0.32,dimensionless,None,None
Laser-Material Interaction,Thermalexpansion,3.5e-05,1/K,None,None
Laser-Material Interaction,Thermalconductivity,0.32,W/m·K,None,None
Laser-Material Interaction,Specificheat,1120.0,J/(kg·K),None,None
Laser-Material Interaction,Laserabsorption,0.87,dimensionless,None,None
Laser-Material Interaction,Thermaldiffusivity,1.28e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,1.45,J/cm²,None,None
,Metric,1064,nm,None,None
