Category,Property,Value,Unit,Min,Max
Material Characteristics,electricalConductivity,41000000.0,S/m,,
Material Characteristics,electricalResistivity,2.44e-08,Ω·m,,
Material Characteristics,fractureToughness,47.0,MPa√m,,
Material Characteristics,surfaceRoughness,2e-09,m,,
Material Characteristics,youngsModulus,79.0,GPa,,
Material Characteristics,oxidationResistance,1.5,V,,
Material Characteristics,density,19.32,g/cm³,,
Material Characteristics,hardness,25.0,HV,,
Material Characteristics,corrosionResistance,1.0,dimensionless (0-1 scale),,
Material Characteristics,compressiveStrength,30.0,MPa,,
Material Characteristics,flexuralStrength,120.0,MPa,,
Material Characteristics,tensileStrength,120.0,MPa,,
Material Characteristics,porosity,0.0,%,,
Material Characteristics,absorptivity,0.02,dimensionless,,
Material Characteristics,boilingPoint,3129.0,K,,
Material Characteristics,absorptionCoefficient,83000000.0,m^{-1},,
Material Characteristics,meltingPoint,1337.33,K,,
Material Characteristics,vaporPressure,0.015,Pa,,
Material Characteristics,thermalDestructionPoint,1337.33,K,,
Material Characteristics,reflectivity,0.98,dimensionless,,
Material Characteristics,thermalShockResistance,60.0,K,,
Material Characteristics,laserDamageThreshold,4.5,J/cm²,,
Laser-Material Interaction,absorptionCoefficient,69000000.0,m⁻¹,,
Laser-Material Interaction,absorptivity,0.017,dimensionless,,
Laser-Material Interaction,laserDamageThreshold,0.45,J/cm²,,
Laser-Material Interaction,reflectivity,0.985,dimensionless (reflectance ratio),,
Laser-Material Interaction,thermalDestructionPoint,1337.33,K,,
Laser-Material Interaction,thermalShockResistance,1.8,MW/m,,
Laser-Material Interaction,vaporPressure,0.000172,Pa,,
Laser-Material Interaction,thermalDestruction,1337.33,K,,
Laser-Material Interaction,specificHeat,129.0,J/kg·K,,
Laser-Material Interaction,laserReflectivity,0.98,fraction,,
Laser-Material Interaction,thermalConductivity,317.0,W/m·K,,
Laser-Material Interaction,thermalExpansion,1.42e-05,K^{-1},,
Laser-Material Interaction,laserAbsorption,0.023,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,0.000127,m²/s,,
Laser-Material Interaction,ablationThreshold,0.42,J/cm²,,
