Category,Property,Value,Unit,Min,Max
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,50,μm,0.1,500
Machine Setting,Repetitionrate,100,kHz,1,200
Machine Setting,Fluencethreshold,2.5,J/cm²,0.3,4.5
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Power,50,W,20,200
Machine Setting,Scan Speed,500,mm/s,10,5000
Machine Setting,Pulse Width,10,ns,0.1,1000
Machine Setting,Repetition Rate,20,kHz,1,200
Machine Setting,Energy Density,0.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,50,%,10,90
,Crystallinestructure,amorphous,crystal system,None,None
Material Characteristics,Electricalresistivity,1000000000000.0,ohm m,None,None
Material Characteristics,Fracturetoughness,0.75,MPa√m,None,None
Material Characteristics,Youngsmodulus,70.0,GPa,None,None
Material Characteristics,Oxidationresistance,0.98,dimensionless,None,None
Material Characteristics,Density,2.42,g/cm³,None,None
Material Characteristics,Hardness,6.2,GPa,None,None
Material Characteristics,Corrosionresistance,5e-08,mol/m²/s,None,None
Material Characteristics,Compressivestrength,700.0,MPa,None,None
Material Characteristics,Flexuralstrength,700.0,MPa,None,None
Material Characteristics,Tensilestrength,900.0,MPa,None,None
Material Characteristics,Laserdamagethreshold,11.3,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.1,dimensionless,0.05,0.15
Laser-Material Interaction,Absorptioncoefficient,2000,m⁻¹,1000,5000
Laser-Material Interaction,Laserdamagethreshold,5,J/cm²,1,10
Laser-Material Interaction,Thermalshockresistance,1,MW/m,0.5,1.5
Laser-Material Interaction,Reflectivity,0.08,dimensionless,0.05,0.1
Laser-Material Interaction,Thermaldestructionpoint,1073,K,1000,1200
Laser-Material Interaction,Vaporpressure,0.01,Pa,0.001,1
Laser-Material Interaction,Thermaldestruction,1743.0,K,None,None
Laser-Material Interaction,Specificheat,840.0,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.0415,,None,None
Laser-Material Interaction,Thermalconductivity,1.05,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,9e-06,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,10.5,m^{-1},None,None
Laser-Material Interaction,Thermaldiffusivity,5.81e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,3.2,J/cm²,None,None
,Metric,1064,nm,None,None
