DATASET: Hafnium Laser Cleaning Parameters
================================================================================

DESCRIPTION:
We've found hafnium distinguishes itself from other non-ferrous metals through its exceptional resistance to extreme heat, allowing sustained integrity in demanding aerospace and nuclear environments without deformation, so monitor exposure to oxidizing conditions to preserve its protective oxide layer

MACHINE SETTINGS:
--------------------------------------------------------------------------------
  (No machine settings available)

MATERIAL PROPERTIES:
--------------------------------------------------------------------------------

Material Characteristics:
  electricalConductivity: 3250000.0 S/m
  electricalResistivity: 5.5e-08 Ω·m
  fractureToughness: 2.0 MPa√m
  surfaceRoughness: 0.8 μm
  youngsModulus: 78.0 GPa
  oxidationResistance: 500.0 °C
  density: 13.31 g/cm³
  hardness: 160.0 HV
  corrosionResistance: 0.92
  compressiveStrength: 241.0 MPa
  flexuralStrength: 380.0 MPa
  tensileStrength: 380.0 MPa
  porosity: 0.0 %
  absorptivity: 0.35 dimensionless
  boilingPoint: 4876.0 K
  absorptionCoefficient: 587000000.0 m^{-1}
  meltingPoint: 2506.0 K
  vaporPressure: 0.0116 Pa
  thermalDestructionPoint: 2506.0 K
  reflectivity: 0.45 fraction
  thermalShockResistance: 479.0 K
  laserDamageThreshold: 3.8 J/cm²

Laser-Material Interaction:
  absorptionCoefficient: 3420000.0 m⁻¹
  absorptivity: 0.42 dimensionless
  laserDamageThreshold: 3.2 J/cm²
  reflectivity: 0.56 dimensionless
  thermalDestructionPoint: 2222.0 K
  thermalShockResistance: 1.2 MW/m
  vaporPressure: 0.00133 Pa
  thermalDestruction: 2506.0 K
  specificHeat: 144.2 J/(kg·K)
  laserReflectivity: 0.42 dimensionless
  thermalConductivity: 23.0 W/m·K
  thermalExpansion: 5.9 10^{-6}/K
  laserAbsorption: 0.35 dimensionless
  thermalDiffusivity: 1.222e-05 m²/s
  ablationThreshold: 2.15 J/cm²
