Category,Property,Value,Unit,Min,Max
Material Characteristics,density,4.81,g/cm³,,
Material Characteristics,porosity,0,%,,
Material Characteristics,surfaceRoughness,0.2,μm,,
Material Characteristics,tensileStrength,41,MPa,,
Material Characteristics,youngsModulus,61,GPa,,
Material Characteristics,hardness,0.8,GPa,,
Material Characteristics,flexuralStrength,95,MPa,,
Material Characteristics,oxidationResistance,5,μm/year,,
Material Characteristics,corrosionResistance,0.65,mm/year,,
Material Characteristics,compressiveStrength,41,MPa,,
Material Characteristics,fractureToughness,4.5,MPa m^{1/2},,
Material Characteristics,electricalResistivity,10000000.0,Ω·m,,
Laser-Material Interaction,thermalDestruction,1335,K,,
Laser-Material Interaction,laserAbsorption,0.3,dimensionless,,
Laser-Material Interaction,laserDamageThreshold,1.5,J/cm²,,
Laser-Material Interaction,ablationThreshold,0.72,J/cm²,,
Laser-Material Interaction,thermalDiffusivity,4.5e-05,m²/s,,
Laser-Material Interaction,thermalExpansion,4.56e-06,K^{-1},,
Laser-Material Interaction,specificHeat,310.0,J/(kg·K),,
Laser-Material Interaction,thermalConductivity,68.0,W/m·K,,
Laser-Material Interaction,laserReflectivity,0.28,dimensionless,,
