Category,Property,Value,Unit,Min,Max
Material Characteristics,electricalConductivity,21230000.0,S/m,,
Material Characteristics,electricalResistivity,4.71e-08,Ω·m,,
Material Characteristics,fractureToughness,3.0,MPa√m,,
Material Characteristics,surfaceRoughness,0.05,μm,,
Material Characteristics,youngsModulus,528.0,GPa,,
Material Characteristics,oxidationResistance,1673.0,K,,
Material Characteristics,density,22560.0,kg/m³,,
Material Characteristics,hardness,1960.0,MPa,,
Material Characteristics,corrosionResistance,1.156,V,,
Material Characteristics,compressiveStrength,1400.0,MPa,,
Material Characteristics,flexuralStrength,1050.0,MPa,,
Material Characteristics,tensileStrength,1170.0,MPa,,
Material Characteristics,porosity,0.0,%,,
Material Characteristics,absorptivity,0.35,dimensionless,,
Material Characteristics,boilingPoint,4701.0,K,,
Material Characteristics,absorptionCoefficient,61700000.0,m^{-1},,
Material Characteristics,meltingPoint,2719.0,K,,
Material Characteristics,vaporPressure,101325.0,Pa,,
Material Characteristics,thermalDestructionPoint,2719.0,K,,
Material Characteristics,reflectivity,0.71,,,
Material Characteristics,thermalShockResistance,359.0,K,,
Material Characteristics,laserDamageThreshold,2.8,J/cm²,,
Laser-Material Interaction,absorptionCoefficient,47200000.0,m⁻¹,,
Laser-Material Interaction,absorptivity,0.42,dimensionless,,
Laser-Material Interaction,laserDamageThreshold,0.45,J/cm²,,
Laser-Material Interaction,reflectivity,0.965,dimensionless (reflectance ratio),,
Laser-Material Interaction,thermalDestructionPoint,2716.0,K,,
Laser-Material Interaction,thermalShockResistance,1.8,MPa·m^0.5,,
Laser-Material Interaction,vaporPressure,0.0001333,Pa,,
Laser-Material Interaction,thermalDestruction,2719.0,K,,
Laser-Material Interaction,specificHeat,132.0,J/kg·K,,
Laser-Material Interaction,laserReflectivity,0.67,dimensionless,,
Laser-Material Interaction,thermalConductivity,147.0,W/m·K,,
Laser-Material Interaction,thermalExpansion,6.8,×10^{-6} K^{-1},,
Laser-Material Interaction,laserAbsorption,0.12,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,4.98e-05,m²/s,,
Laser-Material Interaction,ablationThreshold,2.3,J/cm²,,
