Category,Property,Value,Unit,Min,Max
Material Characteristics,electricalResistivity,3160000000.0,Ω·m,,
Material Characteristics,fractureToughness,0.78,MPa m^{1/2},,
Material Characteristics,youngsModulus,58000000000.0,Pa,,
Material Characteristics,oxidationResistance,0.98,dimensionless (normalized scale 0-1),,
Material Characteristics,density,3.08,g/cm³,,
Material Characteristics,hardness,4.2,GPa,,
Material Characteristics,corrosionResistance,1.2,ml of 0.01 M HCl / 10 g glass,,
Material Characteristics,compressiveStrength,820.0,MPa,,
Material Characteristics,flexuralStrength,42.0,MPa,,
Material Characteristics,tensileStrength,41.0,MPa,,
Material Characteristics,laserDamageThreshold,6.8,J/cm²,,
Laser-Material Interaction,absorptivity,0.05,dimensionless,0.01,0.1
Laser-Material Interaction,absorptionCoefficient,5000,m⁻¹,1000,20000
Laser-Material Interaction,laserDamageThreshold,8,J/cm²,5,15
Laser-Material Interaction,thermalShockResistance,1.2,MW/m,0.5,2.5
Laser-Material Interaction,reflectivity,0.08,dimensionless,0.05,0.12
Laser-Material Interaction,thermalDestructionPoint,1100,K,900,1300
Laser-Material Interaction,vaporPressure,0.01,Pa,0.001,0.1
Laser-Material Interaction,thermalDestruction,873.0,K,,
Laser-Material Interaction,specificHeat,680.0,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.0459,fraction,,
Laser-Material Interaction,thermalConductivity,0.9,W/m·K,,
Laser-Material Interaction,thermalExpansion,8.9e-06,K^{-1},,
Laser-Material Interaction,laserAbsorption,50.0,m^{-1},,
Laser-Material Interaction,thermalDiffusivity,3.33e-07,m²/s,,
Laser-Material Interaction,ablationThreshold,2.1,J/cm²,,
