Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,0.92,MPa m^{1/2},,
Material Characteristics,youngsModulus,29000000000.0,Pa,,
Material Characteristics,oxidationResistance,0.98,dimensionless (scale 0-1),,
Material Characteristics,density,2710.0,kg/m³,,
Material Characteristics,hardness,3.0,Mohs,,
Material Characteristics,corrosionResistance,0.72,1,,
Material Characteristics,compressiveStrength,100.0,MPa,,
Material Characteristics,flexuralStrength,10.3,MPa,,
Material Characteristics,tensileStrength,7.5,MPa,,
Material Characteristics,porosity,15.0,%,,
Material Characteristics,laserDamageThreshold,1.1,J/cm²,,
Laser-Material Interaction,absorptivity,0.85,dimensionless,0.7,0.95
Laser-Material Interaction,absorptionCoefficient,5000,m⁻¹,1000,10000
Laser-Material Interaction,laserDamageThreshold,5.0,J/cm²,2.0,10.0
Laser-Material Interaction,thermalShockResistance,1.2,MW/m,0.5,2.5
Laser-Material Interaction,reflectivity,0.15,dimensionless,0.05,0.3
Laser-Material Interaction,thermalDestructionPoint,1100,K,1000,1200
Laser-Material Interaction,vaporPressure,100,Pa,10,1000
Laser-Material Interaction,thermalDestruction,1173.0,K,,
Laser-Material Interaction,specificHeat,880.0,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.35,dimensionless,,
Laser-Material Interaction,thermalConductivity,2.15,W/m/K,,
Laser-Material Interaction,thermalExpansion,8e-06,K^{-1},,
Laser-Material Interaction,laserAbsorption,0.45,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,1.05e-06,m²/s,,
Laser-Material Interaction,ablationThreshold,0.9,J/cm²,,
