Category,Property,Value,Unit,Min,Max
Material Characteristics,electricalConductivity,694444.0,S/m,,
Material Characteristics,electricalResistivity,1.44e-06,Ω·m,,
Material Characteristics,fractureToughness,18.0,MPa m^{1/2},,
Material Characteristics,surfaceRoughness,0.35,μm,,
Material Characteristics,youngsModulus,117.0,GPa,,
Material Characteristics,oxidationResistance,923.0,K,,
Material Characteristics,density,7.44,g/cm³,,
Material Characteristics,hardness,2.75,GPa,,
Material Characteristics,corrosionResistance,-1.185,V,,
Material Characteristics,compressiveStrength,310.0,MPa,,
Material Characteristics,flexuralStrength,320.0,MPa,,
Material Characteristics,tensileStrength,345.0,MPa,,
Material Characteristics,porosity,0.0,fraction,,
Material Characteristics,absorptivity,0.45,dimensionless,,
Material Characteristics,boilingPoint,2334.0,K,,
Material Characteristics,absorptionCoefficient,280000000.0,m^{-1},,
Material Characteristics,meltingPoint,1519.0,K,,
Material Characteristics,vaporPressure,101325.0,Pa,,
Material Characteristics,thermalDestructionPoint,1519.0,K,,
Material Characteristics,reflectivity,0.65,,,
Material Characteristics,thermalShockResistance,85.0,K,,
Material Characteristics,laserDamageThreshold,1.25,J/cm²,,
Laser-Material Interaction,absorptionCoefficient,14200000.0,m⁻¹,,
Laser-Material Interaction,absorptivity,0.42,dimensionless,,
Laser-Material Interaction,laserDamageThreshold,0.15,J/cm²,,
Laser-Material Interaction,reflectivity,0.58,dimensionless (ratio),,
Laser-Material Interaction,thermalDestructionPoint,1519.0,K,,
Laser-Material Interaction,thermalShockResistance,0.8,MPa·m^0.5,,
Laser-Material Interaction,vaporPressure,121.0,Pa,,
Laser-Material Interaction,thermalDestruction,1519.0,K,,
Laser-Material Interaction,specificHeat,479.0,J/kg·K,,
Laser-Material Interaction,laserReflectivity,0.62,,,
Laser-Material Interaction,thermalConductivity,7.82,W/m·K,,
Laser-Material Interaction,thermalExpansion,21.7,10^{-6} K^{-1},,
Laser-Material Interaction,laserAbsorption,0.35,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,2.19e-06,m²/s,,
Laser-Material Interaction,ablationThreshold,1.05,J/cm²,,
