Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Metal Matrix Composites MMCs,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: metal matrix composites mmcs, laser cleaning, composite, fiber-reinforced, material properties",,,,,
# Last Modified: 2025-12-27,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,50,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Energydensity,5,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Dwelltime,100,μs,0.2,200
Machine Setting,Power,100,W,50,300
Machine Setting,Scan Speed,1500,mm/s,10,5000
Machine Setting,Pulse Width,30,ns,0.1,1000
Machine Setting,Repetition Rate,50,kHz,1,200
Machine Setting,Energy Density,1.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,60,%,10,90
,Crystallinestructure,mixed,crystal system,None,None
Material Characteristics,Electricalresistivity,4.8e-08,Ω·m,None,None
Material Characteristics,Youngsmodulus,105.0,GPa,None,None
Material Characteristics,Oxidationresistance,0.015,mg/(cm²·h),None,None
Material Characteristics,Density,2740.0,kg/m³,None,None
Material Characteristics,Hardness,120.0,HV,None,None
Material Characteristics,Corrosionresistance,0.72,dimensionless (relative corrosion resistance index),None,None
Material Characteristics,Compressivestrength,420.0,MPa,None,None
Material Characteristics,Flexuralstrength,450.0,MPa,None,None
Material Characteristics,Tensilestrength,420.0,MPa,None,None
Material Characteristics,Laserdamagethreshold,2.8,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.15,dimensionless,0.05,0.3
Laser-Material Interaction,Absorptioncoefficient,5000000,m⁻¹,100000,10000000
Laser-Material Interaction,Laserdamagethreshold,2.5,J/cm²,0.5,10
Laser-Material Interaction,Thermalshockresistance,1.8,MW/m,0.5,3
Laser-Material Interaction,Reflectivity,0.85,dimensionless,0.7,0.95
Laser-Material Interaction,Thermaldestructionpoint,1200,K,900,2000
Laser-Material Interaction,Vaporpressure,10,Pa,0.1,1000
Laser-Material Interaction,Thermaldestruction,933.0,K,None,None
Laser-Material Interaction,Specificheat,850.0,J/kg·K,None,None
Laser-Material Interaction,Laserreflectivity,0.82,,None,None
Laser-Material Interaction,Thermalconductivity,170.0,W/(m·K),None,None
Laser-Material Interaction,Thermalexpansion,15.2,×10^{-6}/K,None,None
Laser-Material Interaction,Laserabsorption,0.28,dimensionless (absorptivity),None,None
Laser-Material Interaction,Thermaldiffusivity,8.5e-05,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,2.8,J/cm²,None,None
,Metric,1064,nm,None,None
