Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Mortar,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: mortar, laser cleaning, masonry, general, material properties",,,,,
# Last Modified: 2026-01-05,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,0.1,mm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Energydensity,12.7,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Power,500,W,200,2000
Machine Setting,Scan Speed,1500,mm/s,10,5000
Machine Setting,Pulse Width,30,ns,0.1,1000
Machine Setting,Repetition Rate,50,kHz,1,200
Machine Setting,Energy Density,1.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,500,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,50,%,10,90
,Crystallinestructure,amorphous,crystal system,None,None
Material Characteristics,Fracturetoughness,0.45,MPa√m,None,None
Material Characteristics,Youngsmodulus,22.0,GPa,None,None
Material Characteristics,Oxidationresistance,0.95,"dimensionless (scale 0-1, where 1 indicates perfect resistance)",None,None
Material Characteristics,Density,2160.0,kg/m³,None,None
Material Characteristics,Hardness,28.0,HV,None,None
Material Characteristics,Corrosionresistance,0.92,dimensionless (normalized resistance index),None,None
Material Characteristics,Compressivestrength,5.2,MPa,None,None
Material Characteristics,Flexuralstrength,2.8,MPa,None,None
Material Characteristics,Tensilestrength,2.1,MPa,None,None
Material Characteristics,Laserdamagethreshold,1.25,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.7,dimensionless,0.5,0.9
Laser-Material Interaction,Absorptioncoefficient,1000000,m⁻¹,500000,2000000
Laser-Material Interaction,Laserdamagethreshold,3,J/cm²,1,10
Laser-Material Interaction,Thermalshockresistance,1.2,MW/m,0.5,2.5
Laser-Material Interaction,Reflectivity,0.3,dimensionless,0.1,0.5
Laser-Material Interaction,Thermaldestructionpoint,800,K,600,1000
Laser-Material Interaction,Vaporpressure,1,Pa,0.01,10
Laser-Material Interaction,Thermaldestruction,550.0,°C,None,None
Laser-Material Interaction,Specificheat,880.0,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.28,dimensionless (fraction),None,None
Laser-Material Interaction,Thermalconductivity,0.72,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,11.0,×10^{-6} K^{-1},None,None
Laser-Material Interaction,Laserabsorption,42000.0,m^{-1},None,None
Laser-Material Interaction,Thermaldiffusivity,5.2e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,1.05,J/cm²,None,None
,Metric,1064,nm,None,None
