Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Neodymium,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: neodymium, laser cleaning, rare-earth, lanthanide, material properties",,,,,
# Last Modified: 2026-01-14,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,200,μm,0.1,500
Machine Setting,Energydensity,1.5,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,1500,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Laserpower,100,W,1.0,120
Machine Setting,Laserpoweralternative,100,W,50,500
Machine Setting,Frequency,30,kHz,1,200
,Crystallinestructure,HCP,crystal system,None,None
Material Characteristics,Youngsmodulus,32.0,GPa,None,None
Material Characteristics,Oxidationresistance,-2.323,V,None,None
Material Characteristics,Density,7007.0,kg/m³,None,None
Material Characteristics,Hardness,41.0,HV,None,None
Material Characteristics,Absorptivity,0.37,dimensionless,None,None
Material Characteristics,Boilingpoint,3347.0,K,None,None
Laser-Material Interaction,Absorptivity,0.72,dimensionless,None,None
Laser-Material Interaction,Thermaldestruction,1294.0,K,None,None
Laser-Material Interaction,Specificheat,190.3,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.68,%,None,None
Laser-Material Interaction,Thermalconductivity,16.73,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,12.5,10^{-6} K^{-1},None,None
Laser-Material Interaction,Ablationthreshold,1.75,J/cm²,None,None
Laser-Material Interaction,Absorptioncoefficient,32000000.0,m^{-1},None,None
Laser-Material Interaction,Laserdamagethreshold,1.25,J/cm²,None,None
Laser-Material Interaction,Thermaldiffusivity,1.24e-05,m²/s,None,None
,Metric,1064,nm,None,None
