Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Nylon,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: nylon, laser cleaning, plastic, thermoplastic, material properties",,,,,
# Last Modified: 2026-01-08,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,100,μm,0.1,500
Machine Setting,Energydensity,0.5,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,70,%,10,90
Machine Setting,Laserpower,30,W,1.0,120
Machine Setting,Laserpoweralternative,30,W,10,100
Machine Setting,Frequency,50,kHz,1,200
Material Characteristics,Density,1.14,g/cm³,None,None
Material Characteristics,Porosity,0,%,None,None
Material Characteristics,Surfaceroughness,1.2,μm,None,None
Material Characteristics,Tensilestrength,75,MPa,None,None
Material Characteristics,Youngsmodulus,2.7,GPa,None,None
Material Characteristics,Hardness,0.08,GPa,None,None
Material Characteristics,Flexuralstrength,85,MPa,None,None
Material Characteristics,Oxidationresistance,2,μm/year,None,None
Material Characteristics,Corrosionresistance,0.9,mm/year,None,None
Material Characteristics,Compressivestrength,75,MPa,None,None
Material Characteristics,Fracturetoughness,7,MPa m^{1/2},None,None
Material Characteristics,Electricalresistivity,10000000000000.0,Ω·m,None,None
Laser-Material Interaction,Thermaldestruction,533,K,None,None
Laser-Material Interaction,Laserabsorption,0.65,dimensionless,None,None
Laser-Material Interaction,Laserdamagethreshold,1.8,J/cm²,None,None
Laser-Material Interaction,Ablationthreshold,1.2,J/cm²,None,None
Laser-Material Interaction,Thermaldiffusivity,1.29e-07,m²/s,None,None
Laser-Material Interaction,Thermalexpansion,8e-05,K^{-1},None,None
Laser-Material Interaction,Specificheat,1700.0,J/(kg·K),None,None
Laser-Material Interaction,Thermalconductivity,0.25,W/m·K,None,None
Laser-Material Interaction,Laserreflectivity,0.044,dimensionless (fraction),None,None
,Metric,1064,nm,None,None
