Category,Property,Value,Unit,Min,Max
Material Characteristics,density,1.14,g/cm³,,
Material Characteristics,porosity,0,%,,
Material Characteristics,surfaceRoughness,1.2,μm,,
Material Characteristics,tensileStrength,75,MPa,,
Material Characteristics,youngsModulus,2.7,GPa,,
Material Characteristics,hardness,0.08,GPa,,
Material Characteristics,flexuralStrength,85,MPa,,
Material Characteristics,oxidationResistance,2,μm/year,,
Material Characteristics,corrosionResistance,0.9,mm/year,,
Material Characteristics,compressiveStrength,75,MPa,,
Material Characteristics,fractureToughness,7,MPa m^{1/2},,
Material Characteristics,electricalResistivity,10000000000000.0,Ω·m,,
Laser-Material Interaction,thermalDestruction,533,K,,
Laser-Material Interaction,laserAbsorption,0.65,dimensionless,,
Laser-Material Interaction,laserDamageThreshold,1.8,J/cm²,,
Laser-Material Interaction,ablationThreshold,1.2,J/cm²,,
Laser-Material Interaction,thermalDiffusivity,1.29e-07,m²/s,,
Laser-Material Interaction,thermalExpansion,8e-05,K^{-1},,
Laser-Material Interaction,specificHeat,1700.0,J/(kg·K),,
Laser-Material Interaction,thermalConductivity,0.25,W/m·K,,
Laser-Material Interaction,laserReflectivity,0.044,dimensionless (fraction),,
