Category,Property,Value,Unit,Min,Max
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,100,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Energydensity,2.5,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Dwelltime,100,μs,0.2,200
Machine Setting,Power,50,W,20,200
Machine Setting,Scan Speed,500,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,30,kHz,1,200
Machine Setting,Energy Density,1.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,50,%,10,90
,Crystallinestructure,amorphous,crystal system,None,None
Material Characteristics,Fracturetoughness,0.35,MPa m^{1/2},None,None
Material Characteristics,Youngsmodulus,12.4,GPa,None,None
Material Characteristics,Oxidationresistance,0.85,J/cm²,None,None
Material Characteristics,Density,720.0,kg/m³,None,None
Material Characteristics,Hardness,5738.0,N,None,None
Material Characteristics,Corrosionresistance,0.75,dimensionless,None,None
Material Characteristics,Compressivestrength,50.3,MPa,None,None
Material Characteristics,Flexuralstrength,95.1,MPa,None,None
Material Characteristics,Tensilestrength,99.0,MPa,None,None
Material Characteristics,Porosity,0.55,fraction,None,None
Material Characteristics,Laserdamagethreshold,1.2,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.88,dimensionless,0.8,0.95
Laser-Material Interaction,Absorptioncoefficient,450000,m⁻¹,100000,1000000
Laser-Material Interaction,Laserdamagethreshold,2.0,J/cm²,1.0,5.0
Laser-Material Interaction,Thermalshockresistance,1.5,MW/m,1.0,2.0
Laser-Material Interaction,Reflectivity,0.12,dimensionless,0.05,0.2
Laser-Material Interaction,Thermaldestructionpoint,650,K,600,700
Laser-Material Interaction,Vaporpressure,100,Pa,10,500
Laser-Material Interaction,Thermaldestruction,280.0,°C,None,None
Laser-Material Interaction,Specificheat,1380.0,J/kg·K,None,None
Laser-Material Interaction,Laserreflectivity,0.12,dimensionless,None,None
Laser-Material Interaction,Thermalconductivity,0.168,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,4e-06,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,28000.0,m^{-1},None,None
Laser-Material Interaction,Thermaldiffusivity,1.25e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,2.45,J/cm²,None,None
,Metric,1064,nm,None,None
