Category,Property,Value,Unit,Min,Max
Material Characteristics,density,1.32,g/cm³,,
Material Characteristics,porosity,0,%,,
Material Characteristics,surfaceRoughness,0.6,μm,,
Material Characteristics,tensileStrength,100,MPa,,
Material Characteristics,youngsModulus,3.6,GPa,,
Material Characteristics,hardness,0.11,GPa,,
Material Characteristics,flexuralStrength,170,MPa,,
Material Characteristics,oxidationResistance,5,μm/year,,
Material Characteristics,corrosionResistance,0.95,mm/year,,
Material Characteristics,compressiveStrength,100,MPa,,
Material Characteristics,fractureToughness,8,MPa m^{1/2},,
Material Characteristics,electricalResistivity,1e+16,Ω·m,,
Laser-Material Interaction,thermalDestruction,616,K,,
Laser-Material Interaction,laserAbsorption,0.25,dimensionless,,
Laser-Material Interaction,laserDamageThreshold,1.2,J/cm²,,
Laser-Material Interaction,ablationThreshold,0.58,J/cm²,,
Laser-Material Interaction,thermalDiffusivity,1.46e-07,m²/s,,
Laser-Material Interaction,thermalExpansion,4.7e-05,10^{-6} K^{-1},,
Laser-Material Interaction,specificHeat,1170.0,J/(kg·K),,
Laser-Material Interaction,thermalConductivity,0.25,W/m·K,,
Laser-Material Interaction,laserReflectivity,0.06,,,
