# Pine Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/wood/softwood/pine-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Pine Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/wood/softwood/pine-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Pine,,,,,Material name
Basic,Info,Category,wood,,,,,Material category
Basic,Info,Subcategory,softwood,,,,,Material subcategory
Basic,Info,Slug,pine-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,90,W,1,120,,Optimal average power for Pine surface cleaning without charring
Machine,Settings,wavelength,1064,nm,355,10640,,Near-infrared wavelength for optimal Pine wood absorption
Machine,Settings,spotSize,80,μm,0.1,500,,Beam spot diameter for precise Pine surface treatment
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient Pine surface cleaning
Machine,Settings,energyDensity,1.8,J/cm²,0.1,20,,Fluence threshold for effective contaminant removal from Pine
Machine,Settings,pulseWidth,12,ns,0.1,1000,,Nanosecond pulse duration for controlled ablation of contaminants
Machine,Settings,scanSpeed,800,mm/s,10,5000,,Optimal scanning speed for uniform Pine cleaning
Machine,Settings,passCount,2,passes,1,10,,Number of cleaning passes for complete Pine surface treatment
Machine,Settings,overlapRatio,30,%,10,90,,Beam overlap percentage for uniform Pine surface coverage
Machine,Settings,dwellTime,120,μs,0.2,200,,Optimal dwell time per spot for Pine cleaning efficiency
Machine,Settings,power,50,W,10,200,,"Typical range for industrial cleaning of softwoods like pine to remove contaminants without charring; starting low prevents thermal damage. Max based on avoiding substrate pyrolysis. Source: Studies on laser cleaning of wood in Journal of Cultural Heritage (e.g., 2015 paper on 1064 nm Nd:YAG for heritage wood, adapted for industrial use); manufacturer specs from IPG Photonics for similar applications."
Machine,Settings,scan_speed,1000,mm/s,10,5000,,"Slower speeds for heavy contamination on pine (e.g., resins or dirt), faster for light; optimal balances efficiency and heat dissipation given pine's low thermal conductivity (~0.12 W/mK). Source: Industry standards from Laser Cleaning Association guidelines and equipment manuals (e.g., CleanLaser systems, recommending 500-2000 mm/s for organics)."
Machine,Settings,pulse_width,20,ns,0.1,1000,,"Nanosecond regime preferred over ps/fs for cost-effective cleaning of pine; shorter pulses minimize heat-affected zone (HAZ) to <50 μm, avoiding charring. Ps/fs for ultra-precision but overkill for industrial. Source: Laser physics research in Optics & Lasers in Engineering (e.g., 2018 review on pulsed laser ablation of wood at 1064 nm)."
Machine,Settings,repetition_rate,30,kHz,1,200,,"Mid-range for effective contaminant vaporization on pine; higher rates increase speed but risk heat accumulation due to pine's poor conductivity, leading to discoloration. Trade-off favors moderate for safety. Source: Academic literature in Applied Surface Science (e.g., 2020 study on rep rate effects in wood cleaning, recommending 20-50 kHz for 1064 nm)."
Machine,Settings,energy_density,2,J/cm²,0.1,20,,"Fluence below pine's ablation threshold (~8-12 J/cm² at 1064 nm) for safe removal of surface contaminants; higher risks carbonization. Conservative for pine's reflectivity (~20-40% at IR) and low melting/pyrolysis point (~250°C). Source: Ablation threshold studies in Journal of Applied Physics (e.g., 2012 paper on wood fluence thresholds, industrial adaptation from SPIE proceedings)."
Machine,Settings,spot_size,200,μm,0.1,500,,"Smaller for fine surface preparation on pine, larger for broad industrial areas; 200 μm optimal for uniform energy distribution without pinpoint damage. Source: Equipment specifications from manufacturers like Coherent and Trumpf lasers for cleaning heads (typical 150-300 μm for organic substrates)."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass for heavy (e.g., paint or rust on pine); 2 passes recommended to achieve complete removal while monitoring for thermal effects. Source: Industry practice in case studies from Laser Focus World (e.g., 2019 industrial wood prep examples) and operator manuals."
