Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Pine,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: pine, laser cleaning, wood, softwood, material properties",,,,,
# Last Modified: 2026-01-05,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,90,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,80,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Energydensity,1.8,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,12,ns,0.1,1000
Machine Setting,Scanspeed,800,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,30,%,10,90
Machine Setting,Dwelltime,120,μs,0.2,200
Machine Setting,Power,50,W,10,200
Machine Setting,Scan Speed,1000,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,30,kHz,1,200
Machine Setting,Energy Density,2,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,70,%,10,90
,Crystallinestructure,amorphous,crystal system,None,None
Material Characteristics,Fracturetoughness,0.41,MPa·m^{1/2},None,None
Material Characteristics,Youngsmodulus,10.3,GPa,None,None
Material Characteristics,Oxidationresistance,0.68,dimensionless (normalized resistance index),None,None
Material Characteristics,Density,450.0,kg/m³,None,None
Material Characteristics,Hardness,1690.0,N,None,None
Material Characteristics,Corrosionresistance,0.35,normalized durability index (0-1),None,None
Material Characteristics,Compressivestrength,38.0,MPa,None,None
Material Characteristics,Flexuralstrength,59.3,MPa,None,None
Material Characteristics,Tensilestrength,100.0,MPa,None,None
Material Characteristics,Porosity,0.75,%,None,None
Material Characteristics,Laserdamagethreshold,42000.0,J/m²,None,None
Laser-Material Interaction,Absorptivity,0.85,dimensionless,0.7,0.95
Laser-Material Interaction,Absorptioncoefficient,25000,m⁻¹,10000,50000
Laser-Material Interaction,Laserdamagethreshold,2.5,J/cm²,1,10
Laser-Material Interaction,Thermalshockresistance,1.2,MW/m,0.5,3
Laser-Material Interaction,Reflectivity,0.15,dimensionless,0.05,0.3
Laser-Material Interaction,Thermaldestructionpoint,523,K,473,623
Laser-Material Interaction,Vaporpressure,5,Pa,0.1,50
Laser-Material Interaction,Thermaldestruction,596.0,K,None,None
Laser-Material Interaction,Specificheat,1300.0,J/kg·K,None,None
Laser-Material Interaction,Laserreflectivity,0.38,dimensionless,None,None
Laser-Material Interaction,Thermalconductivity,0.13,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,3.4e-05,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,0.93,dimensionless,None,None
Laser-Material Interaction,Thermaldiffusivity,1.82e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,1.45,J/cm²,None,None
,Metric,1064,nm,None,None
