Category,Property,Value,Unit,Min,Max
Material Characteristics,electricalConductivity,9430000.0,S/m,,
Material Characteristics,electricalResistivity,1.06e-07,Ω·m,,
Material Characteristics,fractureToughness,30.0,MPa√m,,
Material Characteristics,surfaceRoughness,0.05,μm,,
Material Characteristics,youngsModulus,168.0,GPa,,
Material Characteristics,oxidationResistance,1700.0,°C,,
Material Characteristics,density,21450.0,kg/m³,,
Material Characteristics,hardness,40.0,HV,,
Material Characteristics,corrosionResistance,9.9,dimensionless (rating scale 0-10),,
Material Characteristics,compressiveStrength,240.0,MPa,,
Material Characteristics,flexuralStrength,240.0,MPa,,
Material Characteristics,tensileStrength,125.0,MPa,,
Material Characteristics,porosity,0.0,%,,
Material Characteristics,absorptivity,0.05,,,
Material Characteristics,boilingPoint,4098.0,K,,
Material Characteristics,absorptionCoefficient,76800000.0,m^{-1},,
Material Characteristics,meltingPoint,2041.4,K,,
Material Characteristics,vaporPressure,0.44,Pa,,
Material Characteristics,thermalDestructionPoint,2041.4,K,,
Material Characteristics,reflectivity,0.652,,,
Material Characteristics,thermalShockResistance,52.4,K,,
Material Characteristics,laserDamageThreshold,2.2,J/cm²,,
Laser-Material Interaction,absorptionCoefficient,42000000.0,m⁻¹,,
Laser-Material Interaction,absorptivity,0.065,dimensionless,,
Laser-Material Interaction,laserDamageThreshold,0.45,J/cm²,,
Laser-Material Interaction,reflectivity,0.73,dimensionless,,
Laser-Material Interaction,thermalDestructionPoint,2041.15,K,,
Laser-Material Interaction,thermalShockResistance,1.8,MW/m,,
Laser-Material Interaction,vaporPressure,2.51e-07,Pa,,
Laser-Material Interaction,thermalDestruction,2041.4,K,,
Laser-Material Interaction,specificHeat,133.0,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.65,,,
Laser-Material Interaction,thermalConductivity,71.6,W/m·K,,
Laser-Material Interaction,thermalExpansion,8.8e-06,K^{-1},,
Laser-Material Interaction,laserAbsorption,0.11,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,2.51e-05,m²/s,,
Laser-Material Interaction,ablationThreshold,1.2,J/cm²,,
