Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Plywood,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: plywood, laser cleaning, wood, hardwood, material properties",,,,,
# Last Modified: 2025-12-27,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,80,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Energydensity,2.0,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Dwelltime,100,μs,0.2,200
Machine Setting,Power,50,W,20,200
Machine Setting,Scan Speed,500,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,20,kHz,1,200
Machine Setting,Energy Density,0.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,70,%,10,90
,Crystallinestructure,amorphous,crystal system,None,None
Material Characteristics,Fracturetoughness,0.32,MPa√m,None,None
Material Characteristics,Youngsmodulus,10.3,GPa,None,None
Material Characteristics,Oxidationresistance,19.0,%,None,None
Material Characteristics,Density,600.0,kg/m³,None,None
Material Characteristics,Hardness,2937.0,N,None,None
Material Characteristics,Corrosionresistance,0.2,dimensionless (durability index 0-1),None,None
Material Characteristics,Compressivestrength,38.0,MPa,None,None
Material Characteristics,Flexuralstrength,38.0,MPa,None,None
Material Characteristics,Tensilestrength,48.0,MPa,None,None
Material Characteristics,Porosity,0.65,fraction,None,None
Material Characteristics,Laserdamagethreshold,12.5,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.85,dimensionless,0.7,0.95
Laser-Material Interaction,Absorptioncoefficient,4500000,m⁻¹,1000000,10000000
Laser-Material Interaction,Laserdamagethreshold,3.5,J/cm²,1.0,10.0
Laser-Material Interaction,Thermalshockresistance,1.2,MW/m,0.5,2.0
Laser-Material Interaction,Reflectivity,0.12,dimensionless,0.05,0.25
Laser-Material Interaction,Thermaldestructionpoint,550,K,450,650
Laser-Material Interaction,Vaporpressure,150,Pa,10,1000
Laser-Material Interaction,Thermaldestruction,250.0,°C,None,None
Laser-Material Interaction,Specificheat,1700.0,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.035,dimensionless (fraction),None,None
Laser-Material Interaction,Thermalconductivity,0.13,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,7e-06,1/K,None,None
Laser-Material Interaction,Laserabsorption,0.92,dimensionless,None,None
Laser-Material Interaction,Thermaldiffusivity,1.2e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,2.3,J/cm²,None,None
,Metric,1064,nm,None,None
