# Polytetrafluoroethylene Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/plastic/thermoplastic/polytetrafluoroethylene-laser-cleaning
# Updated: 2025-12-01 | Version: 1.0
#
# Citation: Z-Beam (2025). Polytetrafluoroethylene Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/plastic/thermoplastic/polytetrafluoroethylene-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Polytetrafluoroethylene,,,,,Material name
Basic,Info,Category,plastic,,,,,Material category
Basic,Info,Subcategory,thermoplastic,,,,,Material subcategory
Basic,Info,Slug,polytetrafluoroethylene-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Machine setting: powerRange
Machine,Settings,wavelength,1064,nm,355,10640,,Machine setting: wavelength
Machine,Settings,spotSize,50,μm,0.1,500,,Machine setting: spotSize
Machine,Settings,repetitionRate,50,kHz,1,200,,Machine setting: repetitionRate
Machine,Settings,energyDensity,5.1,J/cm²,0.1,20,,Machine setting: energyDensity
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Machine setting: pulseWidth
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Machine setting: scanSpeed
Machine,Settings,passCount,3,passes,1,10,,Machine setting: passCount
Machine,Settings,overlapRatio,50,%,10,90,,Machine setting: overlapRatio
Property,material_characteristics,electricalResistivity,1000000000000000000,Ω·m,9.5e+12,100000000000000000,ai_research,Material property: electricalResistivity
Property,material_characteristics,fractureToughness,2,MPa·m^{1/2},0.7,2.9,ai_research,Material property: fractureToughness
Property,material_characteristics,thermalDestruction,500,°C,228,715,ai_research,Material property: thermalDestruction
Property,material_characteristics,specificHeat,1050,J/(kg·K),1,2500,ai_research,Material property: specificHeat
Property,material_characteristics,youngsModulus,0.5,GPa,0.01,5000,ai_research,Material property: youngsModulus
Property,material_characteristics,oxidationResistance,95,%,0.76,1575,ai_research,Material property: oxidationResistance
Property,material_characteristics,laserReflectivity,0.95,,0.02,0.05,ai_research,Material property: laserReflectivity
Property,material_characteristics,thermalConductivity,0.25,W/m·K,0.02,3,ai_research,Material property: thermalConductivity
Property,material_characteristics,thermalExpansion,0.00011,K^{-1},5.9e-05,0.0002,ai_research,Material property: thermalExpansion
Property,material_characteristics,density,2.2,g/cm³,0.84,2.2,ai_research,Material property: density
Property,material_characteristics,hardness,55,Shore D,51.8,123,ai_research,Material property: hardness
Property,material_characteristics,corrosionResistance,1,dimensionless (resistance index),0,105,ai_research,Material property: corrosionResistance
Property,material_characteristics,laserAbsorption,1.2e+07,m^{-1},0.28,126000,ai_research,Material property: laserAbsorption
Property,material_characteristics,compressiveStrength,28,MPa,20,200,ai_research,Material property: compressiveStrength
Property,material_characteristics,thermalDiffusivity,1.1e-07,m²/s,0,0,ai_research,Material property: thermalDiffusivity
Property,material_characteristics,flexuralStrength,24,MPa,20.7,96.4,ai_research,Material property: flexuralStrength
Property,material_characteristics,tensileStrength,24,MPa,10,400,ai_research,Material property: tensileStrength
Property,laser_material_interaction,absorptivity,0.9,dimensionless,0.85,0.95,ai_research,Material property: absorptivity
Property,laser_material_interaction,absorptionCoefficient,500000,m⁻¹,100000,1000000,ai_research,Material property: absorptionCoefficient
Property,laser_material_interaction,laserDamageThreshold,5,J/cm²,2,10,ai_research,Material property: laserDamageThreshold
Property,laser_material_interaction,thermalShockResistance,1.2,MW/m,0.5,2,ai_research,Material property: thermalShockResistance
Property,laser_material_interaction,reflectivity,0.08,dimensionless,0.05,0.12,ai_research,Material property: reflectivity
Property,laser_material_interaction,thermalDestructionPoint,673,K,650,700,ai_research,Material property: thermalDestructionPoint
Property,laser_material_interaction,vaporPressure,10,Pa,1,100,ai_research,Material property: vaporPressure
