Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Polytetrafluoroethylene (PTFE),,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: polytetrafluoroethylene (ptfe), laser cleaning, plastic, thermoplastic, material properties",,,,,
# Last Modified: 2026-01-06,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,50,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Energydensity,5.1,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Power,50,W,20,200
Machine Setting,Scan Speed,1500,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,30,kHz,1,200
Machine Setting,Energy Density,1.0,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,50,%,10,90
,Crystallinestructure,amorphous,crystal system,None,None
Material Characteristics,Electricalresistivity,1e+18,Ω·m,None,None
Material Characteristics,Fracturetoughness,2.0,MPa·m^{1/2},None,None
Material Characteristics,Youngsmodulus,0.5,GPa,None,None
Material Characteristics,Oxidationresistance,95.0,%,None,None
Material Characteristics,Density,2.16,g/cm³,None,None
Material Characteristics,Hardness,55.0,Shore D,None,None
Material Characteristics,Corrosionresistance,1.0,dimensionless (resistance index),None,None
Material Characteristics,Compressivestrength,28.0,MPa,None,None
Material Characteristics,Flexuralstrength,24.0,MPa,None,None
Material Characteristics,Tensilestrength,24.0,MPa,None,None
Material Characteristics,Laserdamagethreshold,1.8,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.9,dimensionless,0.85,0.95
Laser-Material Interaction,Absorptioncoefficient,500000,m⁻¹,100000,1000000
Laser-Material Interaction,Laserdamagethreshold,5,J/cm²,2,10
Laser-Material Interaction,Thermalshockresistance,1.2,MW/m,0.5,2
Laser-Material Interaction,Reflectivity,0.08,dimensionless,0.05,0.12
Laser-Material Interaction,Thermaldestructionpoint,673,K,650,700
Laser-Material Interaction,Vaporpressure,10,Pa,1,100
Laser-Material Interaction,Thermaldestruction,500.0,°C,None,None
Laser-Material Interaction,Specificheat,1050.0,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.95,%,None,None
Laser-Material Interaction,Thermalconductivity,0.25,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,0.00011,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,12000000.0,m^{-1},None,None
Laser-Material Interaction,Thermaldiffusivity,1.1e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,0.28,J/cm²,None,None
,Metric,1064,nm,None,None
