Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,1.12,MPa m^{1/2},,
Material Characteristics,youngsModulus,62.5,GPa,,
Material Characteristics,oxidationResistance,0.96,dimensionless (normalized resistance index),,
Material Characteristics,density,2720.0,kg/m³,,
Material Characteristics,hardness,6.5,Mohs,,
Material Characteristics,corrosionResistance,0.94,dimensionless (normalized resistance index),,
Material Characteristics,compressiveStrength,180.0,MPa,,
Material Characteristics,flexuralStrength,18.2,MPa,,
Material Characteristics,tensileStrength,7.2,MPa,,
Material Characteristics,porosity,1.2,%,,
Material Characteristics,laserDamageThreshold,0.85,J/cm²,,
Laser-Material Interaction,absorptivity,0.75,dimensionless,0.6,0.95
Laser-Material Interaction,absorptionCoefficient,5000000.0,m⁻¹,1000000.0,10000000.0
Laser-Material Interaction,laserDamageThreshold,8.5,J/cm²,5.0,15.0
Laser-Material Interaction,thermalShockResistance,2.5,MW/m,1.0,4.0
Laser-Material Interaction,reflectivity,0.25,dimensionless,0.05,0.4
Laser-Material Interaction,thermalDestructionPoint,1473,K,1273,1673
Laser-Material Interaction,vaporPressure,0.1,Pa,0.001,1.0
Laser-Material Interaction,thermalDestruction,846.0,K,,
Laser-Material Interaction,specificHeat,840.0,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.23,dimensionless,,
Laser-Material Interaction,thermalConductivity,2.3,W/m·K,,
Laser-Material Interaction,thermalExpansion,7.5e-06,/K,,
Laser-Material Interaction,laserAbsorption,1250.0,m^{-1},,
Laser-Material Interaction,thermalDiffusivity,1.15e-06,m²/s,,
Laser-Material Interaction,ablationThreshold,1.15,J/cm²,,
