# Praseodymium Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/rare-earth/lanthanide/praseodymium-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Praseodymium Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/rare-earth/lanthanide/praseodymium-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Praseodymium,,,,,Material name
Basic,Info,Category,rare-earth,,,,,Material category
Basic,Info,Subcategory,lanthanide,,,,,Material subcategory
Basic,Info,Slug,praseodymium-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,90,W,1,120,,Optimal average power for Praseodymium oxide removal
Machine,Settings,wavelength,1064,nm,355,10640,,Optimal wavelength for Praseodymium absorption characteristics
Machine,Settings,spotSize,80,μm,0.1,500,,Optimal beam spot diameter for Praseodymium surface processing
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient Praseodymium cleaning
Machine,Settings,fluenceThreshold,2.5,J/cm²,0.3,4.5,,Minimum fluence required for effective Praseodymium surface cleaning
Machine,Settings,energyDensity,3.2,J/cm²,0.1,20,,Optimal energy density for controlled Praseodymium ablation
Machine,Settings,pulseWidth,12,ns,0.1,1000,,Optimal pulse duration for Praseodymium thermal management
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform Praseodymium cleaning
Machine,Settings,passCount,3,passes,1,10,,Optimal number of passes for complete Praseodymium surface cleaning
Machine,Settings,overlapRatio,40,%,10,90,,Optimal beam overlap for uniform Praseodymium processing
Machine,Settings,dwellTime,120,μs,0.2,200,,Optimal dwell time per spot for Praseodymium material interaction
Machine,Settings,power,50,W,20,200,,"Typical range for Nd:YAG laser cleaning of reflective metals like rare earths; starting at 50W to avoid thermal damage given Praseodymium's low melting point (931°C) and moderate thermal conductivity (~17 W/m·K). Conservative max to prevent substrate melting. Based on manufacturer specs from IPG Photonics for metal cleaning systems; no Praseodymium-specific studies found, generalized from aluminum cleaning (Optics & Laser Technology, 2018)."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective speeds for contamination removal without excessive heat buildup; recommended 1500 mm/s for balanced cleaning rate on light contaminants. Slower for heavy contamination (500-1000 mm/s). Industry standards from laser cleaning equipment manuals (e.g., Adapt Laser Systems); adjusted for Praseodymium's reflectivity at 1064 nm to minimize absorption issues."
