# Quartz Glass Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/glass/soda-lime/quartz-glass-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Quartz Glass Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/glass/soda-lime/quartz-glass-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Quartz Glass,,,,,Material name
Basic,Info,Category,glass,,,,,Material category
Basic,Info,Subcategory,soda-lime,,,,,Material subcategory
Basic,Info,Slug,quartz-glass-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Quartz Glass cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength with good transmission through Quartz Glass for selective contaminant removal
Machine,Settings,spotSize,50,μm,0.1,500,,Beam spot diameter for precise cleaning with adequate energy density
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning with controlled thermal accumulation
Machine,Settings,fluenceThreshold,2.5,J/cm²,0.3,4.5,,Energy density threshold for effective contaminant removal without damaging Quartz Glass substrate
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for effective contaminant removal with minimal substrate heating
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning coverage
Machine,Settings,passCount,3,passes,1,10,,Number of cleaning passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap percentage for uniform cleaning coverage
Machine,Settings,power,100,W,20,500,,"Typical range for industrial laser cleaning systems (e.g., CleanLaser CL 50-500 models) on delicate substrates like quartz glass to avoid thermal damage; starting at 100W for controlled ablation of contaminants. Max safe ~300-500W depending on fluence to prevent cracking (source: IPG Photonics specs and J. Laser Appl. 2018 study on glass cleaning)."
Machine,Settings,scan_speed,500,mm/s,10,5000,,"Effective range for 1064 nm cleaning; slower (100-500 mm/s) for heavy contamination, faster (1000-2000 mm/s) for light; 500 mm/s recommended for optimal balance on quartz to minimize heat input (source: Industry standards from Laserax manuals and Opt. Lasers Eng. 2020 on scan optimization)."
