Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Quartzite,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: quartzite, laser cleaning, stone, sedimentary, material properties",,,,,
# Last Modified: 2026-01-05,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,100,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Fluencethreshold,2.5,J/cm²,0.3,4.5
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Dwelltime,100,μs,0.2,200
Machine Setting,Power,200,W,50,500
Machine Setting,Scan Speed,1500,mm/s,10,5000
Machine Setting,Pulse Width,30,ns,0.1,1000
Machine Setting,Repetition Rate,50,kHz,1,200
Machine Setting,Energy Density,2,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,60,%,10,90
,Crystallinestructure,crystalline,crystal system,None,None
Material Characteristics,Fracturetoughness,1.35,MPa√m,None,None
Material Characteristics,Youngsmodulus,86.0,GPa,None,None
Material Characteristics,Oxidationresistance,1673.0,K,None,None
Material Characteristics,Density,2.65,g/cm³,None,None
Material Characteristics,Hardness,7.0,Mohs,None,None
Material Characteristics,Corrosionresistance,0.98,dimensionless (resistance index 0-1),None,None
Material Characteristics,Compressivestrength,250.0,MPa,None,None
Material Characteristics,Flexuralstrength,24.0,MPa,None,None
Material Characteristics,Tensilestrength,15.0,MPa,None,None
Material Characteristics,Porosity,0.8,%,None,None
Material Characteristics,Laserdamagethreshold,3.8,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.2,dimensionless,0.1,0.4
Laser-Material Interaction,Absorptioncoefficient,10000,m⁻¹,1000,50000
Laser-Material Interaction,Laserdamagethreshold,8.5,J/cm²,5,15
Laser-Material Interaction,Thermalshockresistance,1.2,MW/m,0.8,2.0
Laser-Material Interaction,Reflectivity,0.25,dimensionless,0.15,0.4
Laser-Material Interaction,Thermaldestructionpoint,1700,K,1400,2000
Laser-Material Interaction,Vaporpressure,10,Pa,1,100
Laser-Material Interaction,Thermaldestruction,1710.0,°C,None,None
Laser-Material Interaction,Specificheat,741.0,J/kg·K,None,None
Laser-Material Interaction,Laserreflectivity,0.034,dimensionless,None,None
Laser-Material Interaction,Thermalconductivity,6.0,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,1.2e-05,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,0.12,dimensionless,None,None
Laser-Material Interaction,Thermaldiffusivity,1.31e-06,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,11.3,J/cm²,None,None
,Metric,1064,nm,None,None
