Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,1.35,MPa√m,,
Material Characteristics,youngsModulus,86.0,GPa,,
Material Characteristics,oxidationResistance,1673.0,K,,
Material Characteristics,density,2.65,g/cm³,,
Material Characteristics,hardness,7.0,Mohs,,
Material Characteristics,corrosionResistance,0.98,dimensionless (resistance index 0-1),,
Material Characteristics,compressiveStrength,250.0,MPa,,
Material Characteristics,flexuralStrength,24.0,MPa,,
Material Characteristics,tensileStrength,15.0,MPa,,
Material Characteristics,porosity,0.8,%,,
Material Characteristics,laserDamageThreshold,3.8,J/cm²,,
Laser-Material Interaction,absorptivity,0.2,dimensionless,0.1,0.4
Laser-Material Interaction,absorptionCoefficient,10000,m⁻¹,1000,50000
Laser-Material Interaction,laserDamageThreshold,8.5,J/cm²,5,15
Laser-Material Interaction,thermalShockResistance,1.2,MW/m,0.8,2.0
Laser-Material Interaction,reflectivity,0.25,dimensionless,0.15,0.4
Laser-Material Interaction,thermalDestructionPoint,1700,K,1400,2000
Laser-Material Interaction,vaporPressure,10,Pa,1,100
Laser-Material Interaction,thermalDestruction,1710.0,°C,,
Laser-Material Interaction,specificHeat,741.0,J/kg·K,,
Laser-Material Interaction,laserReflectivity,0.034,dimensionless,,
Laser-Material Interaction,thermalConductivity,6.0,W/m·K,,
Laser-Material Interaction,thermalExpansion,1.2e-05,K^{-1},,
Laser-Material Interaction,laserAbsorption,0.12,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,1.31e-06,m²/s,,
Laser-Material Interaction,ablationThreshold,11.3,J/cm²,,
