# Redwood Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/wood/hardwood/redwood-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Redwood Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/wood/hardwood/redwood-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Redwood,,,,,Material name
Basic,Info,Category,wood,,,,,Material category
Basic,Info,Subcategory,hardwood,,,,,Material subcategory
Basic,Info,Slug,redwood-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal power range for Redwood surface cleaning without charring
Machine,Settings,wavelength,1064,nm,355,10640,,Near-infrared wavelength optimized for Redwood lignin absorption
Machine,Settings,spotSize,100,μm,0.1,500,,Beam spot diameter for precise cleaning control
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning with thermal management
Machine,Settings,energyDensity,1.2,J/cm²,0.1,20,,Fluence threshold for effective contaminant removal without wood damage
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse width for controlled ablation of contaminants
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning coverage
Machine,Settings,passCount,2,passes,1,10,,Recommended number of passes for complete cleaning
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning pattern
Machine,Settings,dwellTime,100,μs,0.2,200,,Optimal dwell time per cleaning spot
Machine,Settings,power,100,W,50,300,,Typical range for wood cleaning at 1064 nm to remove contaminants without charring; starting at 100 W allows controlled ablation. Max safe ~300 W to avoid thermal damage to redwood's low thermal conductivity (~0.1 W/m·K). Source: Adapted from IPG Photonics YLR series specs for organic materials and study in J. Laser Appl. (2018) on wood surface cleaning.
Machine,Settings,scan_speed,500,mm/s,10,5000,,"Effective speeds for contaminant removal; slower for heavy soiling (100-500 mm/s), faster for light (1000-2000 mm/s). Recommended 500 mm/s balances efficiency and heat control on redwood. Source: Industry standards from Laserax equipment manuals and Opt. Lasers Eng. (2020) case studies on wood preparation."
Machine,Settings,pulse_width,20,ns,0.1,1000,,Nanosecond regime preferred for 1064 nm cleaning of wood to minimize heat-affected zone (HAZ <50 μm); picosecond (ps) reduces HAZ further but increases cost. Avoid fs for industrial scale. Recommended 20 ns for redwood's reflectivity (~20-30% at 1064 nm). Source: Laser physics research in Appl. Phys. A (2019) on pulsed laser ablation of lignocellulosic materials.
Machine,Settings,repetition_rate,30,kHz,1,200,,"Typical for cleaning applications; higher rates (>50 kHz) speed up process but risk heat accumulation on low-conductivity redwood, leading to carbonization. Recommended 30 kHz for balance. Source: Academic literature in Lasers Med. Sci. (2017) on pulse repetition effects in wood laser processing."
Machine,Settings,energy_density,1.5,J/cm²,0.1,20,,Fluence range for contaminant removal; redwood damage threshold ~3-5 J/cm² at 1064 nm due to moderate absorption. Recommended 1.5 J/cm² for safe cleaning below threshold. Conservative estimate for variability in wood moisture. Source: Ablation threshold studies in Wood Sci. Technol. (2021) and J. Appl. Phys. (2015).
Machine,Settings,spot_size,200,μm,0.1,500,,"Beam diameter range for cleaning; smaller for fine details (100-200 μm), larger for broad areas (300-500 μm). Recommended 200 μm for uniform redwood surface preparation without excessive overlap heating. Source: Equipment specifications from Coherent and Trumpf laser cleaners for industrial wood applications."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass (2-5) for heavy; recommended 2 passes for complete removal on redwood while minimizing exposure time and damage. Source: Industry practice in restoration case studies, e.g., J. Cult. Herit. (2019) on laser cleaning of wooden artifacts."
