Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,0.32,MPa m^{0.5},,
Material Characteristics,youngsModulus,9.6,GPa,,
Material Characteristics,oxidationResistance,0.85,dimensionless (scale 0-1),,
Material Characteristics,density,450.0,kg/m³,,
Material Characteristics,hardness,1868.0,N,,
Material Characteristics,corrosionResistance,0.92,dimensionless (relative durability index),,
Material Characteristics,compressiveStrength,33.1,MPa,,
Material Characteristics,flexuralStrength,54.0,MPa,,
Material Characteristics,tensileStrength,51.0,MPa,,
Material Characteristics,porosity,0.752,fraction,,
Material Characteristics,laserDamageThreshold,2.3,J/cm²,,
Laser-Material Interaction,absorptivity,0.9,dimensionless,0.8,0.95
Laser-Material Interaction,absorptionCoefficient,500000,m⁻¹,100000,1000000
Laser-Material Interaction,laserDamageThreshold,5,J/cm²,1,10
Laser-Material Interaction,thermalShockResistance,1,MW/m,0.5,2
Laser-Material Interaction,reflectivity,0.08,dimensionless,0.05,0.15
Laser-Material Interaction,thermalDestructionPoint,600,K,500,700
Laser-Material Interaction,vaporPressure,10,Pa,1,100
Laser-Material Interaction,thermalDestruction,573.0,K,,
Laser-Material Interaction,specificHeat,1385.0,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.032,dimensionless,,
Laser-Material Interaction,thermalConductivity,0.11,W/m·K,,
Laser-Material Interaction,thermalExpansion,3.6e-06,1/K,,
Laser-Material Interaction,laserAbsorption,0.88,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,1.25e-07,m²/s,,
Laser-Material Interaction,ablationThreshold,1.05,J/cm²,,
