Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Rhodium,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: rhodium, laser cleaning, metal, non-ferrous, material properties",,,,,
# Last Modified: 2025-12-29,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,45,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,80,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Fluencethreshold,2.5,J/cm²,0.3,4.5
Machine Setting,Pulsewidth,15,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Power,150,W,50,500
Machine Setting,Scan Speed,2000,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,50,kHz,1,200
Machine Setting,Energy Density,1.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,60,%,10,90
,Crystallinestructure,FCC,crystal system,None,None
Material Characteristics,Electricalconductivity,23300000.0,S/m,None,None
Material Characteristics,Electricalresistivity,4.33e-08,Ω·m,None,None
Material Characteristics,Fracturetoughness,2.2,MPa√m,None,None
Material Characteristics,Surfaceroughness,0.15,μm,None,None
Material Characteristics,Youngsmodulus,380.0,GPa,None,None
Material Characteristics,Oxidationresistance,1273.0,K,None,None
Material Characteristics,Density,12.41,g/cm³,None,None
Material Characteristics,Hardness,206.0,HV,None,None
Material Characteristics,Corrosionresistance,1.0,dimensionless,None,None
Material Characteristics,Compressivestrength,1000.0,MPa,None,None
Material Characteristics,Flexuralstrength,550.0,MPa,None,None
Material Characteristics,Tensilestrength,550.0,MPa,None,None
Material Characteristics,Porosity,0.0,%,None,None
Material Characteristics,Absorptivity,0.2,dimensionless,None,None
Material Characteristics,Boilingpoint,3968.0,K,None,None
Material Characteristics,Absorptioncoefficient,59000000.0,m^{-1},None,None
Material Characteristics,Meltingpoint,2237.0,K,None,None
Material Characteristics,Vaporpressure,2.89,Pa,None,None
Material Characteristics,Thermaldestructionpoint,2237.0,K,None,None
Material Characteristics,Reflectivity,0.69,,None,None
Material Characteristics,Thermalshockresistance,84.0,K,None,None
Material Characteristics,Laserdamagethreshold,1.2,J/cm²,None,None
Laser-Material Interaction,Absorptioncoefficient,10700000.0,m⁻¹,None,None
Laser-Material Interaction,Absorptivity,0.21,dimensionless,None,None
Laser-Material Interaction,Laserdamagethreshold,0.85,J/cm²,None,None
Laser-Material Interaction,Reflectivity,0.82,dimensionless,None,None
Laser-Material Interaction,Thermaldestructionpoint,2237.0,K,None,None
Laser-Material Interaction,Thermalshockresistance,380.0,°C,None,None
Laser-Material Interaction,Vaporpressure,0.00133,Pa,None,None
Laser-Material Interaction,Thermaldestruction,2237.0,K,None,None
Laser-Material Interaction,Specificheat,243.0,J/kg·K,None,None
Laser-Material Interaction,Laserreflectivity,0.7,dimensionless,None,None
Laser-Material Interaction,Thermalconductivity,150.0,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,8.3e-06,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,0.3,dimensionless,None,None
Laser-Material Interaction,Thermaldiffusivity,4.97e-05,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,0.85,J/cm²,None,None
,Metric,1064,nm,None,None
