Category,Property,Value,Unit,Min,Max
Material Characteristics,electricalResistivity,10000.0,Ω·m,,
Material Characteristics,fractureToughness,3.2,MPa m^{0.5},,
Material Characteristics,youngsModulus,0.003,GPa,,
Material Characteristics,oxidationResistance,36.0,h,,
Material Characteristics,density,1.15,g/cm³,,
Material Characteristics,hardness,65.0,Shore A,,
Material Characteristics,corrosionResistance,0.95,dimensionless (normalized resistance index),,
Material Characteristics,compressiveStrength,16.5,MPa,,
Material Characteristics,flexuralStrength,12.5,MPa,,
Material Characteristics,tensileStrength,22.0,MPa,,
Material Characteristics,laserDamageThreshold,0.75,J/cm²,,
Laser-Material Interaction,absorptivity,0.85,dimensionless,0.6,0.95
Laser-Material Interaction,absorptionCoefficient,500000,m⁻¹,100000,1000000
Laser-Material Interaction,laserDamageThreshold,2.5,J/cm²,0.5,5
Laser-Material Interaction,thermalShockResistance,1.2,MW/m,0.5,2.5
Laser-Material Interaction,reflectivity,0.12,dimensionless,0.05,0.35
Laser-Material Interaction,thermalDestructionPoint,673,K,573,773
Laser-Material Interaction,vaporPressure,50,Pa,1,500
Laser-Material Interaction,thermalDestruction,673.0,K,,
Laser-Material Interaction,specificHeat,1700.0,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.07,fraction,,
Laser-Material Interaction,thermalConductivity,0.17,W/m·K,,
Laser-Material Interaction,thermalExpansion,0.0002,K^{-1},,
Laser-Material Interaction,laserAbsorption,120000.0,m^{-1},,
Laser-Material Interaction,thermalDiffusivity,1.04e-07,m²/s,,
Laser-Material Interaction,ablationThreshold,0.75,J/cm²,,
