Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,0.85,MPa m^{1/2},,
Material Characteristics,youngsModulus,18.0,GPa,,
Material Characteristics,oxidationResistance,0.95,,,
Material Characteristics,density,2300.0,kg/m³,,
Material Characteristics,hardness,7.0,Mohs,,
Material Characteristics,corrosionResistance,0.82,dimensionless (normalized resistance index),,
Material Characteristics,compressiveStrength,100.0,MPa,,
Material Characteristics,flexuralStrength,12.5,MPa,,
Material Characteristics,tensileStrength,6.5,MPa,,
Material Characteristics,porosity,14.0,%,,
Material Characteristics,laserDamageThreshold,1.2,J/cm²,,
Laser-Material Interaction,absorptivity,0.65,dimensionless,0.4,0.85
Laser-Material Interaction,absorptionCoefficient,500000,m⁻¹,10000,1000000
Laser-Material Interaction,laserDamageThreshold,3.5,J/cm²,1.0,8.0
Laser-Material Interaction,thermalShockResistance,1.2,MW/m,0.5,2.5
Laser-Material Interaction,reflectivity,0.35,dimensionless,0.15,0.6
Laser-Material Interaction,thermalDestructionPoint,950,K,700,1200
Laser-Material Interaction,vaporPressure,0.1,Pa,0.001,10
Laser-Material Interaction,thermalDestruction,600.0,°C,,
Laser-Material Interaction,specificHeat,837.0,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.05,fraction,,
Laser-Material Interaction,thermalConductivity,2.3,W/m·K,,
Laser-Material Interaction,thermalExpansion,7.5e-06,K^{-1},,
Laser-Material Interaction,laserAbsorption,1200.0,m^{-1},,
Laser-Material Interaction,thermalDiffusivity,1.42e-06,m²/s,,
Laser-Material Interaction,ablationThreshold,1.1,J/cm²,,
